Iteration;Amplitude
0;2,05E-05
1;2,04E-05
2;2,05E-05
3;2,01E-05
4;2,00E-05
5;1,97E-05
6;1,98E-05
7;2,00E-05
8;1,96E-05
9;2,00E-05
10;2,02E-05
11;2,03E-05
12;2,07E-05
13;2,10E-05
14;2,12E-05
15;2,15E-05
16;2,17E-05
17;2,23E-05
18;2,25E-05
19;2,33E-05
20;2,35E-05
21;2,39E-05
22;2,43E-05
23;2,47E-05
24;2,51E-05
25;2,56E-05
26;2,60E-05
27;2,66E-05
28;2,71E-05
29;2,75E-05
30;2,82E-05
31;2,87E-05
32;2,92E-05
33;2,95E-05
34;3,02E-05
35;3,04E-05
36;3,11E-05
37;3,17E-05
38;3,19E-05
39;3,26E-05
40;3,32E-05
41;3,39E-05
42;3,43E-05
43;3,47E-05
44;3,54E-05
45;3,59E-05
46;3,65E-05
47;3,70E-05
48;3,74E-05
49;3,79E-05
50;3,85E-05
51;3,90E-05
52;3,95E-05
53;4,02E-05
54;4,06E-05
55;4,09E-05
56;4,14E-05
57;4,21E-05
58;4,29E-05
59;4,31E-05
60;4,37E-05
61;4,41E-05
62;4,46E-05
63;4,50E-05
64;4,55E-05
65;4,60E-05
66;4,65E-05
67;4,70E-05
68;4,73E-05
69;4,77E-05
70;4,79E-05
71;4,82E-05
72;4,82E-05
73;4,82E-05
74;4,85E-05
75;4,83E-05
76;4,85E-05
77;4,84E-05
78;4,85E-05
79;4,83E-05
80;4,83E-05
81;4,81E-05
82;4,80E-05
83;4,78E-05
84;4,75E-05
85;4,72E-05
86;4,69E-05
87;4,68E-05
88;4,67E-05
89;4,65E-05
90;4,62E-05
91;4,56E-05
92;4,57E-05
93;4,53E-05
94;4,54E-05
95;4,50E-05
96;4,47E-05
97;4,44E-05
98;4,41E-05
99;4,40E-05
100;4,39E-05
101;4,34E-05
102;4,33E-05
103;4,31E-05
104;4,28E-05
105;4,25E-05
106;4,21E-05
107;4,19E-05
108;4,16E-05
109;4,12E-05
110;4,12E-05
111;4,07E-05
112;4,05E-05
113;4,03E-05
114;4,00E-05
115;3,97E-05
116;3,94E-05
117;3,91E-05
118;3,88E-05
119;3,87E-05
120;3,86E-05
121;3,81E-05
122;3,77E-05
123;3,76E-05
124;3,74E-05
125;3,71E-05
126;3,69E-05
127;3,68E-05
128;3,67E-05
129;3,64E-05
130;3,63E-05
131;3,66E-05
132;3,66E-05
133;3,68E-05
134;3,68E-05
135;3,71E-05
136;3,73E-05
137;3,73E-05
138;3,77E-05
139;3,83E-05
140;3,83E-05
141;3,88E-05
142;3,90E-05
143;3,95E-05
144;3,96E-05
145;4,00E-05
146;4,04E-05
147;4,10E-05
148;4,12E-05
149;4,18E-05
150;4,22E-05
151;4,27E-05
152;4,30E-05
153;4,36E-05
154;4,41E-05
155;4,44E-05
156;4,50E-05
157;4,53E-05
158;4,60E-05
159;4,64E-05
160;4,69E-05
161;4,72E-05
162;4,77E-05
163;4,80E-05
164;4,86E-05
165;4,90E-05
166;4,96E-05
167;4,99E-05
168;5,05E-05
169;5,10E-05
170;5,15E-05
171;5,19E-05
172;5,23E-05
173;5,29E-05
174;5,32E-05
175;5,40E-05
176;5,44E-05
177;5,47E-05
178;5,51E-05
179;5,55E-05
180;5,60E-05
181;5,64E-05
182;5,68E-05
183;5,70E-05
184;5,76E-05
185;5,81E-05
186;5,83E-05
187;5,86E-05
188;5,87E-05
189;5,92E-05
190;5,94E-05
191;5,96E-05
192;5,96E-05
193;5,97E-05
194;5,98E-05
195;5,96E-05
196;5,96E-05
197;5,96E-05
198;5,95E-05
199;5,92E-05
200;5,91E-05
201;5,89E-05
202;5,87E-05
203;5,86E-05
204;5,82E-05
205;5,82E-05
206;5,79E-05
207;5,76E-05
208;5,75E-05
209;5,69E-05
210;5,68E-05
211;5,63E-05
212;5,62E-05
213;5,60E-05
214;5,57E-05
215;5,54E-05
216;5,52E-05
217;5,48E-05
218;5,45E-05
219;5,42E-05
220;5,39E-05
221;5,33E-05
222;5,29E-05
223;5,27E-05
224;5,25E-05
225;5,23E-05
226;5,18E-05
227;5,16E-05
228;5,13E-05
229;5,11E-05
230;5,08E-05
231;5,04E-05
232;4,99E-05
233;4,96E-05
234;4,94E-05
235;4,93E-05
236;4,89E-05
237;4,86E-05
238;4,83E-05
239;4,81E-05
240;4,77E-05
241;4,75E-05
242;4,74E-05
243;4,68E-05
244;4,65E-05
245;4,62E-05
246;4,60E-05
247;4,56E-05
248;4,56E-05
249;4,55E-05
250;4,54E-05
251;4,55E-05
252;4,54E-05
253;4,56E-05
254;4,57E-05
255;4,59E-05
256;4,61E-05
257;4,58E-05
258;4,64E-05
259;4,67E-05
260;4,69E-05
261;4,74E-05
262;4,74E-05
263;4,78E-05
264;4,81E-05
265;4,86E-05
266;4,88E-05
267;4,93E-05
268;4,93E-05
269;4,99E-05
270;5,05E-05
271;5,08E-05
272;5,12E-05
273;5,14E-05
274;5,19E-05
275;5,24E-05
276;5,26E-05
277;5,29E-05
278;5,36E-05
279;5,41E-05
280;5,44E-05
281;5,51E-05
282;5,53E-05
283;5,57E-05
284;5,64E-05
285;5,67E-05
286;5,71E-05
287;5,76E-05
288;5,79E-05
289;5,83E-05
290;5,88E-05
291;5,92E-05
292;5,97E-05
293;6,01E-05
294;6,04E-05
295;6,09E-05
296;6,11E-05
297;6,15E-05
298;6,22E-05
299;6,22E-05
300;6,27E-05
301;6,32E-05
302;6,32E-05
303;6,38E-05
304;6,42E-05
305;6,46E-05
306;6,49E-05
307;6,52E-05
308;6,55E-05
309;6,57E-05
310;6,61E-05
311;6,59E-05
312;6,61E-05
313;6,62E-05
314;6,59E-05
315;6,60E-05
316;6,58E-05
317;6,60E-05
318;6,58E-05
319;6,55E-05
320;6,53E-05
321;6,52E-05
322;6,51E-05
323;6,49E-05
324;6,44E-05
325;6,41E-05
326;6,37E-05
327;6,36E-05
328;6,34E-05
329;6,29E-05
330;6,26E-05
331;6,24E-05
332;6,21E-05
333;6,19E-05
334;6,14E-05
335;6,12E-05
336;6,09E-05
337;6,03E-05
338;6,00E-05
339;5,98E-05
340;5,95E-05
341;5,89E-05
342;5,87E-05
343;5,83E-05
344;5,78E-05
345;5,77E-05
346;5,72E-05
347;5,69E-05
348;5,66E-05
349;5,63E-05
350;5,59E-05
351;5,55E-05
352;5,53E-05
353;5,48E-05
354;5,47E-05
355;5,40E-05
356;5,38E-05
357;5,36E-05
358;5,29E-05
359;5,30E-05
360;5,27E-05
361;5,22E-05
362;5,20E-05
363;5,16E-05
364;5,13E-05
365;5,09E-05
366;5,08E-05
367;5,06E-05
368;5,05E-05
369;5,04E-05
370;5,03E-05
371;5,02E-05
372;5,02E-05
373;5,00E-05
374;5,02E-05
375;5,05E-05
376;5,08E-05
377;5,10E-05
378;5,10E-05
379;5,14E-05
380;5,16E-05
381;5,18E-05
382;5,22E-05
383;5,24E-05
384;5,27E-05
385;5,31E-05
386;5,34E-05
387;5,37E-05
388;5,39E-05
389;5,42E-05
390;5,48E-05
391;5,52E-05
392;5,55E-05
393;5,61E-05
394;5,61E-05
395;5,67E-05
396;5,71E-05
397;5,75E-05
398;5,77E-05
399;5,83E-05
400;5,87E-05
401;5,90E-05
402;5,94E-05
403;5,97E-05
404;6,00E-05
405;6,05E-05
406;6,09E-05
407;6,14E-05
408;6,16E-05
409;6,22E-05
410;6,23E-05
411;6,26E-05
412;6,32E-05
413;6,35E-05
414;6,41E-05
415;6,43E-05
416;6,47E-05
417;6,52E-05
418;6,57E-05
419;6,60E-05
420;6,64E-05
421;6,67E-05
422;6,73E-05
423;6,76E-05
424;6,81E-05
425;6,83E-05
426;6,85E-05
427;6,89E-05
428;6,89E-05
429;6,93E-05
430;6,94E-05
431;6,95E-05
432;6,96E-05
433;6,95E-05
434;6,94E-05
435;6,94E-05
436;6,93E-05
437;6,93E-05
438;6,90E-05
439;6,89E-05
440;6,86E-05
441;6,84E-05
442;6,83E-05
443;6,80E-05
444;6,77E-05
445;6,74E-05
446;6,71E-05
447;6,67E-05
448;6,64E-05
449;6,62E-05
450;6,58E-05
451;6,56E-05
452;6,53E-05
453;6,50E-05
454;6,45E-05
455;6,41E-05
456;6,36E-05
457;6,33E-05
458;6,31E-05
459;6,26E-05
460;6,23E-05
461;6,20E-05
462;6,18E-05
463;6,13E-05
464;6,10E-05
465;6,07E-05
466;6,03E-05
467;6,01E-05
468;5,96E-05
469;5,91E-05
470;5,87E-05
471;5,84E-05
472;5,82E-05
473;5,79E-05
474;5,75E-05
475;5,71E-05
476;5,68E-05
477;5,64E-05
478;5,60E-05
479;5,56E-05
480;5,52E-05
481;5,51E-05
482;5,46E-05
483;5,43E-05
484;5,40E-05
485;5,37E-05
486;5,35E-05
487;5,33E-05
488;5,30E-05
489;5,28E-05
490;5,27E-05
491;5,27E-05
492;5,27E-05
493;5,25E-05
494;5,26E-05
495;5,29E-05
496;5,31E-05
497;5,30E-05
498;5,34E-05
499;5,36E-05
500;5,38E-05
501;5,42E-05
502;5,45E-05
503;5,46E-05
504;5,50E-05
505;5,51E-05
506;5,55E-05
507;5,59E-05
508;5,65E-05
509;5,68E-05
510;5,72E-05
511;5,75E-05
512;5,78E-05
513;5,83E-05
514;5,86E-05
515;5,89E-05
516;5,92E-05
517;5,95E-05
518;6,01E-05
519;6,05E-05
520;6,07E-05
521;6,13E-05
522;6,16E-05
523;6,18E-05
524;6,22E-05
525;6,27E-05
526;6,30E-05
527;6,34E-05
528;6,40E-05
529;6,41E-05
530;6,45E-05
531;6,49E-05
532;6,53E-05
533;6,57E-05
534;6,62E-05
535;6,64E-05
536;6,70E-05
537;6,72E-05
538;6,75E-05
539;6,79E-05
