Iteration;Amplitude
0;0,513528
1;0,510889
2;0,51309
3;0,504897
4;0,500777
5;0,495077
6;0,495957
7;0,501989
8;0,492126
9;0,502604
10;0,506209
11;0,509134
12;0,519207
13;0,52645
14;0,532562
15;0,538357
16;0,544975
17;0,558828
18;0,563847
19;0,583411
20;0,588916
21;0,599164
22;0,609386
23;0,619975
24;0,629119
25;0,643095
26;0,652283
27;0,666586
28;0,680323
29;0,690121
30;0,708596
31;0,719265
32;0,732064
33;0,739543
34;0,75672
35;0,763168
36;0,779674
37;0,794958
38;0,801068
39;0,816921
40;0,833894
41;0,850564
42;0,861353
43;0,870849
44;0,887044
45;0,901623
46;0,914705
47;0,929148
48;0,938554
49;0,951063
50;0,965431
51;0,9772
52;0,990311
53;1,00875
54;1,0196
55;1,02584
56;1,039
57;1,0556
58;1,07534
59;1,08102
60;1,09526
61;1,1056
62;1,11811
63;1,12786
64;1,14184
65;1,15517
66;1,16653
67;1,17858
68;1,18577
69;1,19617
70;1,20261
71;1,2092
72;1,2098
73;1,21022
74;1,21646
75;1,21093
76;1,21613
77;1,21485
78;1,21566
79;1,21145
80;1,21061
81;1,20646
82;1,20513
83;1,1999
84;1,19268
85;1,18521
86;1,17762
87;1,17498
88;1,17188
89;1,16719
90;1,15912
91;1,14513
92;1,14525
93;1,13532
94;1,13806
95;1,12863
96;1,12058
97;1,11439
98;1,10701
99;1,10371
100;1,10114
101;1,08978
102;1,08584
103;1,08106
104;1,07363
105;1,06494
106;1,05501
107;1,05117
108;1,04343
109;1,03392
110;1,03243
111;1,02197
112;1,01714
113;1,0101
114;1,00287
115;0,996217
116;0,988845
117;0,981546
118;0,97328
119;0,972075
120;0,969528
121;0,954569
122;0,945007
123;0,942593
124;0,938789
125;0,931123
126;0,926157
127;0,922614
128;0,921457
129;0,91405
130;0,911729
131;0,917483
132;0,916925
133;0,922615
134;0,923928
135;0,929781
136;0,935261
137;0,935442
138;0,946354
139;0,96042
140;0,960613
141;0,973259
142;0,978471
143;0,99007
144;0,992771
145;1,00239
146;1,01358
147;1,02784
148;1,03383
149;1,04745
150;1,05825
151;1,0701
152;1,07801
153;1,09458
154;1,10507
155;1,11443
156;1,12832
157;1,13732
158;1,15362
159;1,16493
160;1,17646
161;1,18347
162;1,1959
163;1,20487
164;1,21955
165;1,23034
166;1,24334
167;1,2526
168;1,26586
169;1,27939
170;1,29122
171;1,3022
172;1,31299
173;1,32823
174;1,33569
175;1,3539
176;1,36491
177;1,37285
178;1,3811
179;1,39333
180;1,40444
181;1,41572
182;1,4245
183;1,4311
