Time - Plot 0;Amplitude - Plot 0
0;0,00292706
1;0,00292641
2;0,00292567
3;0,00292482
4;0,00292392
5;0,00292238
6;0,00292162
7;0,00292046
8;0,00291979
9;0,00291847
10;0,00291732
11;0,00291661
12;0,00291566
13;0,0029145
14;0,00291396
15;0,00291276
16;0,00291176
17;0,002911
18;0,00291069
19;0,00291007
20;0,00290938
21;0,0029077
22;0,00290727
23;0,00290667
24;0,00290563
25;0,00290494
26;0,00290411
27;0,0029031
28;0,00290357
29;0,00289915
30;0,00290003
31;0,00289961
32;0,00289895
33;0,00289805
34;0,00289726
35;0,00289649
36;0,00289624
37;0,00289508
38;0,00289418
39;0,00289457
40;0,00289493
41;0,00289404
42;0,0028938
43;0,00289312
44;0,00289295
45;0,00289276
46;0,0028916
47;0,00289038
48;0,00288974
49;0,00288876
50;0,00288791
51;0,0028873
52;0,00288596
53;0,00288538
54;0,00288479
55;0,00288408
56;0,00288301
57;0,00288227
58;0,00288128
59;0,00288069
60;0,00287967
61;0,00287899
62;0,00287823
63;0,00287706
64;0,00287654
65;0,00287569
66;0,00287529
67;0,00287423
68;0,00287334
69;0,00287284
70;0,00287197
71;0,00287083
72;0,00287008
73;0,00286905
74;0,0028685
75;0,00286739
76;0,0028667
77;0,00286618
78;0,00286521
79;0,00286457
80;0,00286386
81;0,00286298
82;0,0028622
83;0,00286148
84;0,00286057
85;0,00285962
86;0,00285911
87;0,00285832
88;0,00285763
89;0,00285684
90;0,00285498
91;0,00285476
92;0,00285397
93;0,00285186
94;0,00285186
95;0,00285091
96;0,0028516
97;0,00284986
98;0,00284906
99;0,0028486
100;0,00284769
101;0,00284693
102;0,00284623
103;0,00284545
104;0,00284474
105;0,00284424
106;0,00284336
107;0,00284275
108;0,0028423
109;0,00284139
110;0,0028405
111;0,00283977
112;0,0028392
113;0,00283826
114;0,00283751
115;0,00283684
116;0,00283647
117;0,00283537
118;0,00283482
119;0,00283408
120;0,00283348
121;0,00283251
122;0,0028318
123;0,00283133
124;0,00283046
125;0,00282948
126;0,00282878
127;0,00282804
128;0,00282735
129;0,00282645
130;0,00282559
131;0,00282511
132;0,00282418
133;0,00282353
134;0,00282307
135;0,00282239
136;0,00282156
137;0,00282107
138;0,00282029
139;0,00281951
140;0,00281884
141;0,00281809
142;0,0028175
143;0,00281698
144;0,00281596
145;0,00281522
146;0,00281472
147;0,00281403
148;0,00281343
149;0,00281272
150;0,00281211
151;0,00281125
152;0,00281085
153;0,00281035
154;0,00280959
155;0,00280893
156;0,00280807
157;0,00280732
158;0,00280678
159;0,00280617
160;0,00280546
161;0,00280503
162;0,00280409
163;0,00280354
164;0,00280301
165;0,00280206
166;0,00280141
167;0,00280076
168;0,00280023
169;0,00279931
170;0,00279896
171;0,00279816
172;0,00279756
173;0,00279696
174;0,00279624
175;0,0027957
176;0,00279499
177;0,00279448
178;0,00279375
179;0,00279299
180;0,00279245
181;0,00279146
182;0,00279099
183;0,00279055
184;0,00278986
185;0,00278933
186;0,00278858
187;0,00278781
188;0,00278749
189;0,00278652
190;0,00278598
191;0,00278529
192;0,00278465
193;0,00278403
194;0,00278322
195;0,00278263
196;0,00278216
197;0,0027817
198;0,0027809
199;0,00277967
200;0,00277936
201;0,00277866
202;0,00277802
203;0,00277732
204;0,00277677
205;0,00277619
206;0,00277555
207;0,00277505
208;0,00277431
209;0,00277383
210;0,00277349
211;0,00277266
212;0,00277223
213;0,0027715
214;0,00277077
215;0,00277041
216;0,00276951
217;0,002769
218;0,0027685
219;0,00276796
220;0,00276724
221;0,00276689
222;0,0027661
223;0,00276544
224;0,00276488
225;0,00276437
226;0,00276403
227;0,00276302
228;0,00276251
229;0,00276176
230;0,00276127
231;0,00276054
232;0,0027603
233;0,00275969
234;0,00275879
235;0,0027581
236;0,00275759
237;0,00275708
238;0,00275626
239;0,00275571
240;0,00275535
241;0,00275446
242;0,00275403
243;0,00275334
244;0,00275253
245;0,00275219
246;0,00275148
247;0,00275085
248;0,0027502
249;0,00274974
250;0,00274885
251;0,00274804
252;0,00274746
253;0,00274699
254;0,00274627
255;0,00274541
256;0,00274484
257;0,00274456
258;0,00274369
259;0,00274318
260;0,00274235
261;0,00274183
262;0,00274108
263;0,00274058
264;0,00273983
265;0,00273953
266;0,00273873
267;0,00273812
268;0,00273746
269;0,00273712
270;0,00273625
271;0,00273571
272;0,00273509
273;0,00273452
274;0,00273398
275;0,0027335
276;0,00273266
277;0,00273274
278;0,00273167
279;0,00273097
280;0,00273033
281;0,00272985
282;0,00272928
283;0,00272854
284;0,00272805
285;0,00272757
286;0,00272698
287;0,00272622
288;0,00272604
289;0,00272523
290;0,00272491
291;0,00272437
292;0,0027233
293;0,00272357
294;0,0027226
295;0,00272183
296;0,00272149
297;0,002721
298;0,00272053
299;0,0027198
300;0,00271917
301;0,00271853
302;0,00271802
303;0,00271741
304;0,00271692
305;0,00271638
306;0,00271598
307;0,00271527
308;0,00271481
309;0,00271401
310;0,0027134
311;0,00271306
312;0,00271236
313;0,00271146
314;0,00271122
315;0,00271052
316;0,00271019
317;0,00270966
318;0,00270908
319;0,00270849
320;0,00270794
321;0,00270708
322;0,00270674
323;0,00270606
324;0,00270571
325;0,00270521
326;0,00270451
327;0,00270395
328;0,00270306
329;0,00270286
330;0,00270222
331;0,00270215
332;0,00270132
333;0,00270071
334;0,00269995
335;0,00269939
336;0,00269888
337;0,00269848
338;0,00269805
339;0,0026975
340;0,00269687
341;0,00269636
342;0,00269564
343;0,00269521
344;0,00269471
345;0,00269425
346;0,00269363
347;0,0026931
348;0,00269291
349;0,00269234
350;0,00269163
351;0,00269116
352;0,00269042
353;0,00268982
354;0,00268925
355;0,00268882
356;0,00268807
357;0,00268761
358;0,00268719
359;0,00268661
360;0,00268628
361;0,00268496
362;0,00268519
363;0,00268464
364;0,0026841
365;0,00268355
366;0,00268294
367;0,00268241
368;0,00268177
369;0,00268119
370;0,00268054
371;0,00268024
372;0,00267934
373;0,00267893
374;0,00267856
375;0,0026779
376;0,00267761
377;0,00267699
378;0,00267641
379;0,00267581
380;0,00267533
381;0,00267467
382;0,00267414
383;0,00267359
384;0,002673
385;0,00267271
386;0,00267195
387;0,00267157
388;0,00267111
389;0,00267058
390;0,00267018
391;0,00266956
392;0,00266917
393;0,00266845
394;0,00266814
395;0,00266777
396;0,00266726
397;0,00266653
398;0,00266626
399;0,00266581
400;0,00266519
401;0,00266469
402;0,00266415
403;0,00266359
404;0,0026629
405;0,00266235
406;0,002662
407;0,00266137
408;0,00266077
409;0,0026605
410;0,00266013
411;0,00265954
412;0,0026589
413;0,0026584
414;0,00265777
415;0,00265727
416;0,00265679
417;0,00265649
418;0,00265571
419;0,00265492
420;0,00265462
421;0,00265398
422;0,00265359
423;0,0026531
424;0,00265264
425;0,00265185
426;0,0026513
427;0,0026508
428;0,0026504
429;0,00264998
430;0,00264951
431;0,00264918
432;0,00264841
433;0,00264797
434;0,00264731
435;0,00264696
436;0,00264616
437;0,00264582
438;0,00264528
439;0,00264473
440;0,00264406
441;0,00264371
442;0,00264314
443;0,00264285
444;0,00264219
445;0,00264166
446;0,00264088
447;0,00264083
448;0,00264014
449;0,00263987
450;0,00263912
451;0,0026384
452;0,00263818
453;0,00263792
454;0,00263694
455;0,0026365
456;0,00263596
457;0,00263535
458;0,00263493
459;0,00263426
460;0,00263372
461;0,00263325
462;0,00263277
463;0,00263222
464;0,00263174
465;0,0026312
466;0,00263062
467;0,00262997
468;0,00262972
469;0,00262914
470;0,00262875
471;0,00262846
472;0,00262733
473;0,00262719
474;0,00262653
475;0,0026261
476;0,00262554
477;0,00262518
478;0,00262466
479;0,0026241
480;0,00262384
481;0,00262318
482;0,00262277
483;0,00262239
484;0,00262233
485;0,00262131
486;0,00262095
487;0,00262042
488;0,00262018
489;0,00261954
490;0,00261888
491;0,00261843
492;0,00261791
493;0,00261741
494;0,00261721
495;0,00261661
496;0,00261615
497;0,00261551
498;0,00261518
499;0,00261449
500;0,00261408
501;0,0026135
502;0,00261294
503;0,00261264
504;0,00261198
505;0,00261143
506;0,0026112
507;0,00261078
508;0,00260988
509;0,00260943
510;0,00260919
511;0,00260853
512;0,00260793
513;0,00260759
514;0,00260688
515;0,0026067
516;0,00260609
517;0,00260571
518;0,00260492
519;0,00260477
520;0,00260421
521;0,00260368
522;0,00260309
523;0,00260276
524;0,00260241
525;0,00260159
526;0,00260126
527;0,00260064
528;0,00260025
529;0,00259977
530;0,0025992
531;0,00259889
532;0,00259833
533;0,00259781
534;0,00259728
535;0,0025968
536;0,00259615
537;0,00259588
538;0,00259539
539;0,00259461
540;0,00259423
541;0,0025936
542;0,00259311
543;0,00259268
544;0,00259233
545;0,00259181
546;0,00259129
547;0,00259105
548;0,00259044
549;0,00258977
550;0,00258931
551;0,00258871
552;0,00258842
553;0,00258787
554;0,00258767
555;0,00258702
556;0,00258659
557;0,00258601
558;0,0025855
559;0,00258479
560;0,00258452
561;0,00258422
562;0,00258358
563;0,00258336
564;0,0025827
565;0,00258239
566;0,0025818
567;0,00258132
568;0,00258071
569;0,0025802
570;0,00257999
571;0,00257952
572;0,00257917
573;0,00257849
574;0,00257801
575;0,00257747
576;0,00257723
577;0,0025766
578;0,00257613
579;0,00257562
580;0,00257511
581;0,00257474
582;0,00257421
583;0,00257362
584;0,00257317
585;0,00257235
586;0,00257228
587;0,00257158
588;0,0025713
589;0,00257092
590;0,00257036
591;0,0025701
592;0,00256925
593;0,00256901
594;0,0025684
595;0,0025678
596;0,00256778
597;0,00256719
598;0,00256652
599;0,00256579
600;0,00256549
601;0,00256511
602;0,00256471
603;0,00256434
604;0,00256403
605;0,00256322
606;0,00256276
607;0,00256231
608;0,00256181
609;0,00256152
610;0,00256084
611;0,00256042
612;0,00255987
613;0,00255943
614;0,00255877
615;0,00255847
616;0,00255814
617;0,00255761
618;0,00255729
619;0,00255672
620;0,00255633
621;0,00255569
622;0,00255536
623;0,00255475
624;0,00255422
625;0,00255378
626;0,00255343
627;0,00255278
628;0,0025523
629;0,00255196
630;0,00255158
631;0,00255102
632;0,00255045
633;0,00255011
634;0,00254948
635;0,00254898
636;0,00254869
637;0,00254823
638;0,00254783
639;0,00254721
640;0,00254695
641;0,0025463
642;0,00254593
643;0,00254542
644;0,00254487
645;0,00254449
646;0,00254386
647;0,00254361
648;0,00254317
649;0,00254254
650;0,00254204
651;0,00254156
652;0,00254112
653;0,00254056
654;0,0025398
655;0,00253969
656;0,00253936
657;0,0025389
658;0,0025383
659;0,00253791
660;0,00253757
661;0,00253706
662;0,00253668
663;0,0025361
664;0,00253569
665;0,00253533
666;0,00253474
667;0,0025345
668;0,002534
669;0,00253372
670;0,00253316
671;0,00253262
672;0,00253219
673;0,00253171
674;0,0025314
675;0,00253094
676;0,00253044
677;0,00253027
678;0,00252989
679;0,00252917
680;0,00252908
681;0,0025286
682;0,00252798
683;0,0025273
684;0,00252704
685;0,00252658
686;0,00252592
687;0,00252561
688;0,00252515
689;0,00252466
690;0,0025243
691;0,0025237
692;0,00252336
693;0,00252285
694;0,00252243
695;0,00252195
696;0,00252165
697;0,0025213
698;0,00252076
699;0,00252018
700;0,00251968
701;0,00251949
702;0,00251886
703;0,00251849
704;0,00251807
705;0,00251775
706;0,00251711
707;0,00251651
708;0,00251624
709;0,00251558
710;0,00251517
711;0,00251472
712;0,00251436
713;0,00251389
714;0,00251335
715;0,00251305
716;0,00251234
717;0,00251216
718;0,00251218
719;0,00251124
720;0,00251086
721;0,00251031
722;0,00250978
723;0,00250936
724;0,00250898
725;0,00250848
726;0,00250782
727;0,00250762
728;0,00250704
729;0,00250672
730;0,0025062
731;0,00250574
732;0,00250547
733;0,00250495
734;0,00250448
735;0,00250385
736;0,00250337
737;0,00250317
738;0,00250272
739;0,00250215
740;0,0025017
741;0,00250125
742;0,00250078
743;0,00250043
744;0,00249999
745;0,00249943
746;0,00249922
747;0,00249838
748;0,00249803
749;0,00249779
750;0,0024973
751;0,00249691
752;0,00249628
753;0,00249597
754;0,00249553
755;0,00249514
756;0,00249459
757;0,00249424
758;0,00249365
759;0,00249337
760;0,00249292
761;0,00249246
762;0,00249225
763;0,00249148
764;0,00249104
765;0,00249039
766;0,00249019
767;0,00248972
768;0,00248918
769;0,00248887
770;0,00248846
771;0,00248796
772;0,00248759
773;0,00248703
774;0,0024865
775;0,00248629
776;0,00248611
777;0,00248527
778;0,00248493
779;0,00248446
780;0,00248393
781;0,0024838
782;0,00248329
783;0,00248283
784;0,0024823
785;0,00248156
786;0,00248125
787;0,00248079
788;0,00248049
789;0,00247986
790;0,00247965
791;0,00247891
792;0,00247861
793;0,00247804
794;0,0024778
795;0,00247721
796;0,00247677
797;0,00247623
798;0,00247589
799;0,0024756
800;0,00247515
801;0,00247463
802;0,00247423
803;0,0024738
804;0,00247314
805;0,00247299
806;0,00247242
807;0,00247187
808;0,00247144
809;0,00247106
810;0,00247094
811;0,00247018
812;0,00246969
813;0,00246951
814;0,00246893
815;0,00246848
816;0,00246825
817;0,00246743
818;0,00246727
819;0,00246666
820;0,00246628
821;0,00246581
822;0,00246542
823;0,00246495
824;0,00246481
825;0,00246431
826;0,00246386
827;0,0024634
828;0,00246283
829;0,00246261
830;0,00246192
831;0,00246145
832;0,00246125
833;0,00246077
834;0,00246022
835;0,00245997
836;0,00245945
837;0,00245886
838;0,00245822
839;0,00245808
840;0,00245789
841;0,00245739
842;0,00245662
843;0,00245656
844;0,00245592
845;0,00245566
846;0,00245523
847;0,00245475
848;0,00245409
849;0,00245375
850;0,00245348
851;0,00245296
852;0,00245264
853;0,00245214
854;0,00245176
855;0,00245115
856;0,00245093
857;0,00245036
858;0,00244999
859;0,00244969
860;0,00244916
861;0,00244871
862;0,00244811
863;0,00244787
864;0,00244759
865;0,00244731
866;0,00244663
867;0,00244645
868;0,00244579
869;0,00244524
870;0,00244472
871;0,00244448
872;0,0024438
873;0,00244343
874;0,00244296
875;0,00244272
876;0,00244218
877;0,00244181
878;0,00244121
879;0,00244079
880;0,00244032
881;0,00244001
882;0,00243954
883;0,00243933
884;0,00243888
885;0,00243864
886;0,002438
887;0,00243766
888;0,00243717
889;0,00243686
890;0,00243647
891;0,00243589
892;0,0024355
893;0,00243475
894;0,00243445
895;0,00243396
896;0,00243384
897;0,00243312
898;0,00243261
899;0,00243266
900;0,00243212
901;0,00243176
902;0,00243114
903;0,0024308
904;0,00243051
905;0,00243012
906;0,00242964
907;0,00242934
908;0,00242911
909;0,00242849
910;0,00242793
911;0,00242758
912;0,00242702
913;0,00242663
914;0,00242634
915;0,00242568
916;0,00242553
917;0,00242486
918;0,00242486
919;0,00242417
920;0,00242399
921;0,00242344
922;0,00242301
923;0,00242263
924;0,00242241
925;0,00242189
926;0,00242133
927;0,00242124
928;0,00242073
929;0,00242038
930;0,0024199
931;0,00241965
932;0,00241943
933;0,00241845
934;0,00241806
935;0,00241788
936;0,0024174
937;0,00241726
938;0,0024167
939;0,00241647
940;0,00241583
941;0,0024155
942;0,00241509
943;0,00241475
944;0,00241432
945;0,00241401
946;0,00241355
947;0,00241314
948;0,00241255
949;0,0024123
950;0,00241186
951;0,00241165
952;0,00241119
953;0,00241076
954;0,00241051
955;0,00240983
956;0,00240941
957;0,00240912
958;0,00240853
959;0,00240811
960;0,00240778
961;0,00240746
962;0,00240709
963;0,00240648
964;0,00240624
965;0,00240593
966;0,00240546
967;0,00240495
968;0,00240459
969;0,00240443
970;0,00240396
971;0,00240345
972;0,0024029
973;0,00240249
974;0,00240209
975;0,00240169
976;0,00240111
977;0,00240086
978;0,00240028
979;0,00239982
980;0,00239934
981;0,00239895
982;0,00239877
983;0,00239807
984;0,002398
985;0,00239748
986;0,00239721
987;0,00239667
988;0,00239588
989;0,0023956
990;0,00239508
991;0,00239478
992;0,00239448
993;0,0023939
994;0,00239355
995;0,00239345
996;0,00239277
997;0,00239244
998;0,00239199
999;0,00239153
1000;0,00239143
1001;0,00239125
1002;0,00239061
1003;0,0023901
1004;0,00238948
1005;0,00238939
1006;0,00238899
1007;0,00238844
1008;0,00238825
1009;0,00238758
1010;0,0023873
1011;0,00238711
1012;0,00238673
1013;0,00238613
1014;0,00238576
1015;0,00238555
1016;0,00238506
1017;0,00238473
1018;0,00238413
1019;0,00238398
1020;0,00238358
1021;0,00238333
1022;0,00238315
1023;0,00238257
1024;0,00238203
1025;0,00238152
1026;0,00238134
1027;0,002381
1028;0,00238051
1029;0,00238005
1030;0,00237975
1031;0,00237944
1032;0,00237891
1033;0,00237852
1034;0,00237798
1035;0,00237827
1036;0,00237746
1037;0,00237728
1038;0,00237666
1039;0,0023764
1040;0,00237578
1041;0,0023751
1042;0,00237467
1043;0,00237467
1044;0,00237413
1045;0,00237407
1046;0,0023734
1047;0,00237299
1048;0,00237255
1049;0,00237235
1050;0,00237192
1051;0,00237132
1052;0,00237109
1053;0,00237086
1054;0,00237024
1055;0,00236981
1056;0,00236947
1057;0,0023689
1058;0,0023687
1059;0,00236842
1060;0,00236829
1061;0,00236743
1062;0,00236705
1063;0,00236673
1064;0,00236623
1065;0,00236586
1066;0,00236557
1067;0,00236511
1068;0,00236476
1069;0,00236431
1070;0,00236381
1071;0,00236381
1072;0,00236312
1073;0,00236264
1074;0,00236223
1075;0,00236242
1076;0,0023617
1077;0,00236088
1078;0,0023606
1079;0,00236032
1080;0,00235977
1081;0,00235942
1082;0,00235908
1083;0,00235868
1084;0,00235828
1085;0,00235776
1086;0,00235743
1087;0,00235724
1088;0,00235664
1089;0,00235621
1090;0,00235564
1091;0,00235548
1092;0,00235502
1093;0,00235446
1094;0,00235434
1095;0,00235375
1096;0,00235339
1097;0,00235291
1098;0,00235263
1099;0,00235266
1100;0,00235208
1101;0,00235142
1102;0,00235097
1103;0,00235074
1104;0,00235033
1105;0,00234982
1106;0,00234932
1107;0,00234919
1108;0,00234845
1109;0,00234828
1110;0,00234801
1111;0,00234761
1112;0,00234718
1113;0,00234679
1114;0,00234651
1115;0,00234613
1116;0,00234568
1117;0,00234538
1118;0,00234474
1119;0,00234457
1120;0,00234445
1121;0,00234387
1122;0,00234359
1123;0,0023431
1124;0,00234271
1125;0,00234222
1126;0,00234194
1127;0,00234149
1128;0,00234136
1129;0,00234096
1130;0,00234033
1131;0,00234013
1132;0,00233964
1133;0,00233898
1134;0,00233876
1135;0,00233847
1136;0,00233817
1137;0,00233757
1138;0,0023373
1139;0,00233683
1140;0,00233658
1141;0,00233616
1142;0,00233577
1143;0,00233527
1144;0,00233524
1145;0,00233447
1146;0,00233364
1147;0,00233391
1148;0,0023336
1149;0,00233314
1150;0,00233288
1151;0,00233209
1152;0,0023319
1153;0,00233154
1154;0,00233102
