Time - Plot 0;Amplitude - Plot 0
0;-0,00506836
1;-0,00507537
2;-0,00508982
3;-0,00510033
4;-0,00510883
5;-0,0051138
6;-0,00511642
7;-0,00511891
8;-0,00512082
9;-0,00512254
10;-0,0051245
11;-0,00512578
12;-0,00512813
13;-0,00512898
14;-0,00512783
15;-0,00513229
16;-0,00512616
17;-0,00512433
18;-0,00513187
19;-0,00514103
20;-0,00514322
21;-0,0051437
22;-0,00514535
23;-0,0051449
24;-0,00514395
25;-0,00514352
26;-0,00514406
27;-0,00514044
28;-0,00514022
29;-0,00513962
30;-0,00513914
31;-0,0051399
32;-0,00514069
33;-0,00513836
34;-0,00513744
35;-0,00513929
36;-0,00513872
37;-0,00513693
38;-0,0051371
39;-0,00513418
40;-0,0051333
41;-0,00513154
42;-0,00513072
43;-0,00513029
44;-0,00513002
45;-0,00512845
46;-0,00512669
47;-0,00512586
48;-0,00512492
49;-0,00512428
50;-0,00512309
51;-0,00512263
52;-0,00512192
53;-0,00512131
54;-0,00512025
55;-0,0051191
56;-0,00511847
57;-0,00511787
58;-0,00511666
59;-0,00511575
60;-0,00511492
61;-0,0051143
62;-0,00511333
63;-0,00511261
64;-0,0051116
65;-0,00511059
66;-0,00510989
67;-0,00510879
68;-0,00510771
69;-0,00510706
70;-0,00510618
71;-0,00510523
72;-0,00510442
73;-0,00510374
74;-0,00510279
75;-0,0051022
76;-0,00510126
77;-0,0051
78;-0,00509922
79;-0,00509832
80;-0,00509773
81;-0,00509627
82;-0,00509586
83;-0,00509504
84;-0,00509427
85;-0,00509339
86;-0,00509237
87;-0,00509153
88;-0,00509057
89;-0,00509001
90;-0,00508928
91;-0,0050885
92;-0,00508726
93;-0,00508671
94;-0,00508588
95;-0,00508508
96;-0,0050843
97;-0,00508327
98;-0,00508239
99;-0,0050817
100;-0,00508095
101;-0,00507978
102;-0,00507889
103;-0,00507816
104;-0,00507721
105;-0,00507648
106;-0,00507543
107;-0,00507451
108;-0,00507384
109;-0,00507288
110;-0,00507195
111;-0,00507117
112;-0,00507034
113;-0,00506938
114;-0,00506834
115;-0,0050674
116;-0,00506659
117;-0,00506549
118;-0,00506465
119;-0,00506427
120;-0,00506326
121;-0,00506277
122;-0,00506151
123;-0,00506117
124;-0,00506045
125;-0,00505987
126;-0,00505877
127;-0,00505836
128;-0,0050575
129;-0,00505679
130;-0,00505591
131;-0,00505493
132;-0,0050543
133;-0,00505348
134;-0,00505275
135;-0,00505151
136;-0,00505076
137;-0,0050497
138;-0,00504878
139;-0,00504833
140;-0,00504736
141;-0,00504655
142;-0,00504587
143;-0,00504505
144;-0,00504384
145;-0,00504345
146;-0,0050428
147;-0,00504188
148;-0,00504137
149;-0,00504016
150;-0,00503944
151;-0,00503853
152;-0,00503786
153;-0,0050371
154;-0,00503646
155;-0,00503567
156;-0,00503493
157;-0,00503425
158;-0,00503361
159;-0,00503292
160;-0,00503194
161;-0,00503115
162;-0,00503026
163;-0,00502979
164;-0,00502892
165;-0,00502802
166;-0,00502737
167;-0,00502633
168;-0,00502514
169;-0,00502479
170;-0,00502403
171;-0,00502338
172;-0,00502268
173;-0,00502167
174;-0,00502099
175;-0,00502039
176;-0,00501962
177;-0,00501875
178;-0,0050179
179;-0,00501716
180;-0,00501663
181;-0,00501593
182;-0,00501486
183;-0,00501443
184;-0,00501382
185;-0,00501307
186;-0,00501267
187;-0,00501171
188;-0,00501125
189;-0,00501037
190;-0,00500989
191;-0,00500931
192;-0,00500878
193;-0,00500783
194;-0,00500721
195;-0,00500636
196;-0,00500561
197;-0,00500478
198;-0,00500413
199;-0,00500327
200;-0,00500213
201;-0,00500164
202;-0,00500081
203;-0,00500043
204;-0,00499929
205;-0,00499836
206;-0,00499792
207;-0,00499734
208;-0,00499639
209;-0,00499438
210;-0,00499458
211;-0,00499362
212;-0,00499295
213;-0,00499229
214;-0,00499153
215;-0,00499077
216;-0,00498952
217;-0,00498903
218;-0,00498843
219;-0,00498754
220;-0,00498656
221;-0,0049857
222;-0,00498497
223;-0,00498439
224;-0,00498348
225;-0,00498266
226;-0,00498114
227;-0,00498092
228;-0,00498019
229;-0,00497957
230;-0,00497979
231;-0,00497746
232;-0,00497725
233;-0,00497739
234;-0,0049758
235;-0,00497557
236;-0,00497427
237;-0,00496325
238;-0,00497256
239;-0,00497389
240;-0,00497753
241;-0,00496671
242;-0,00497383
243;-0,00497486
244;-0,0049612
245;-0,0049685
246;-0,00496731
247;-0,00496758
248;-0,00496427
249;-0,00496542
250;-0,00496483
251;-0,00496426
252;-0,00496328
253;-0,00496228
254;-0,00496187
255;-0,00496136
256;-0,00496086
257;-0,00495977
258;-0,00495926
259;-0,00495613
260;-0,00495873
261;-0,00495748
262;-0,00495647
263;-0,00495606
264;-0,00495533
265;-0,00495469
266;-0,00495388
267;-0,0049536
268;-0,00495259
269;-0,00495215
270;-0,00495156
271;-0,00495055
272;-0,00495001
273;-0,00494921
274;-0,00494841
275;-0,00494784
276;-0,00494673
277;-0,00494679
278;-0,00494609
279;-0,00494546
280;-0,00494474
281;-0,004944
282;-0,00494329
283;-0,00494271
284;-0,00494226
285;-0,00494158
286;-0,00494081
287;-0,00493992
288;-0,00493936
289;-0,00493856
290;-0,00493794
291;-0,00493693
292;-0,00493718
293;-0,00493589
294;-0,00493557
295;-0,00493485
296;-0,00493425
297;-0,00493307
298;-0,00493253
299;-0,00493178
300;-0,00493107
301;-0,00493021
302;-0,00492938
303;-0,00492851
304;-0,00492795
305;-0,00492739
306;-0,00492683
307;-0,00492614
308;-0,00492553
309;-0,00492481
310;-0,00492417
311;-0,00492384
312;-0,00492305
313;-0,00492235
314;-0,00492158
315;-0,00492151
316;-0,00492051
317;-0,00491986
318;-0,00491965
319;-0,00491815
320;-0,00491759
321;-0,00491718
322;-0,00491626
323;-0,00491549
324;-0,00491491
325;-0,0049143
326;-0,00491357
327;-0,00491303
328;-0,00491242
329;-0,00491162
330;-0,00491085
331;-0,00491066
332;-0,00490987
333;-0,00490881
334;-0,00490841
335;-0,00490784
336;-0,00490696
337;-0,00490613
338;-0,00490548
339;-0,00490493
340;-0,00490428
341;-0,00490375
342;-0,00490287
343;-0,00490167
344;-0,00490125
345;-0,00490035
346;-0,00489986
347;-0,00489892
348;-0,00489808
349;-0,00489776
350;-0,00489673
351;-0,00489615
352;-0,0048953
353;-0,00489476
354;-0,004894
355;-0,00489335
356;-0,00489283
357;-0,00489247
358;-0,00489135
359;-0,00489078
360;-0,00489007
361;-0,00488941
362;-0,00488905
363;-0,00488827
364;-0,00488748
365;-0,00488651
366;-0,0048862
367;-0,00488505
368;-0,00488463
369;-0,0048838
370;-0,00488313
371;-0,0048826
372;-0,00488183
373;-0,0048809
374;-0,00488028
375;-0,00487953
376;-0,00487914
377;-0,00487792
378;-0,00487727
379;-0,00487684
380;-0,00487634
381;-0,00487567
382;-0,00487491
383;-0,00487419
384;-0,00487347
385;-0,0048727
386;-0,00487192
387;-0,00487148
388;-0,00487042
389;-0,00487004
390;-0,00486931
391;-0,00486842
392;-0,00486765
393;-0,00486696
394;-0,00486631
395;-0,00486582
396;-0,00486477
397;-0,00486447
398;-0,00486349
399;-0,00486341
400;-0,00486279
401;-0,0048622
402;-0,00486169
403;-0,00486099
404;-0,00486023
405;-0,00485932
406;-0,00485911
407;-0,00485815
408;-0,00485767
409;-0,00485715
410;-0,00485645
411;-0,00485576
412;-0,00485541
413;-0,0048544
414;-0,004854
415;-0,00485341
416;-0,00485307
417;-0,00485225
418;-0,00485148
419;-0,00485078
420;-0,00485019
421;-0,00484947
422;-0,00484857
423;-0,00484829
424;-0,0048474
425;-0,00484667
426;-0,00484609
427;-0,00484523
428;-0,00484442
429;-0,00484396
430;-0,00484323
431;-0,0048428
432;-0,00484187
433;-0,00484149
434;-0,00484077
435;-0,00484039
436;-0,00484011
437;-0,00483877
438;-0,00483838
439;-0,0048378
440;-0,00483745
441;-0,00483676
442;-0,00483601
443;-0,00483547
444;-0,0048348
445;-0,00483419
446;-0,00483347
447;-0,00483264
448;-0,00483214
449;-0,00483161
450;-0,00483096
451;-0,00483018
452;-0,00482938
453;-0,00482888
454;-0,00482815
455;-0,00482786
456;-0,00482731
457;-0,0048271
458;-0,00482665
459;-0,00482578
460;-0,00482522
461;-0,00482457
462;-0,00482426
463;-0,00482358
464;-0,00482264
465;-0,00482213
466;-0,00482155
467;-0,00482079
468;-0,0048203
469;-0,0048198
470;-0,00481909
471;-0,00481847
472;-0,00481775
473;-0,00481705
474;-0,00481659
475;-0,0048161
476;-0,00481544
477;-0,0048148
478;-0,00481413
479;-0,00481349
480;-0,0048129
481;-0,00481252
482;-0,00481189
483;-0,00481129
484;-0,00481076
485;-0,00480988
486;-0,00480978
487;-0,0048089
488;-0,00480865
489;-0,00480863
490;-0,00480775
491;-0,0048074
492;-0,00480705
493;-0,00480636
494;-0,00480597
495;-0,00480523
496;-0,00480502
497;-0,00480451
498;-0,00480371
499;-0,00480323
500;-0,00480264
501;-0,00480196
502;-0,00480127
503;-0,0048005
504;-0,00480032
505;-0,00479991
506;-0,00479913
507;-0,00479879
508;-0,00479841
509;-0,00479765
510;-0,0047972
511;-0,00479678
512;-0,00479621
513;-0,00479574
514;-0,00479571
515;-0,00479475
516;-0,00479431
517;-0,00479377
518;-0,00479319
519;-0,00479308
520;-0,00479224
521;-0,00479166
522;-0,00479114
523;-0,00479059
524;-0,00479048
525;-0,00478991
526;-0,004789
527;-0,00478865
528;-0,00478899
529;-0,00478891
530;-0,00478848
531;-0,00478773
532;-0,00478711
533;-0,00478646
534;-0,00478571
535;-0,00478513
536;-0,0047846
537;-0,00478391
538;-0,00478318
539;-0,00478227
540;-0,00478177
541;-0,00478114
542;-0,00478058
543;-0,00477984
544;-0,00477943
545;-0,00477866
546;-0,00477823
547;-0,00477781
548;-0,00477731
549;-0,00477646
550;-0,00477581
551;-0,00477541
552;-0,00477471
553;-0,00477413
554;-0,00477344
555;-0,00477274
556;-0,00477209
557;-0,00477152
558;-0,00477068
559;-0,00477012
560;-0,00476935
561;-0,00476878
562;-0,00476818
563;-0,00476751
564;-0,00476677
565;-0,00476654
566;-0,00476546
567;-0,00476497
568;-0,00476445
569;-0,00476384
570;-0,00476307
571;-0,00476259
572;-0,00476209
573;-0,0047615
574;-0,00476147
575;-0,00476043
576;-0,00475965
577;-0,00475896
578;-0,0047582
579;-0,00475769
580;-0,004757
581;-0,00475613
582;-0,00475526
583;-0,00475448
584;-0,00475375
585;-0,0047531
586;-0,00475274
587;-0,00475194
588;-0,00475172
589;-0,00475094
590;-0,00475015
591;-0,00474987
592;-0,00474934
593;-0,00474884
594;-0,00474828
595;-0,00474773
596;-0,00474701
597;-0,00474651
598;-0,00474604
599;-0,00474532
600;-0,00474481
601;-0,0047446
602;-0,00474399
603;-0,00474351
604;-0,00474316
605;-0,00474288
606;-0,00474238
607;-0,00474179
608;-0,00474124
609;-0,00474046
610;-0,0047396
611;-0,00473907
612;-0,00473859
613;-0,00473791
614;-0,00473719
615;-0,00473645
616;-0,00473599
617;-0,00473527
618;-0,00473512
619;-0,004734
620;-0,00473338
621;-0,00473274
622;-0,00473237
623;-0,00473201
624;-0,00473135
625;-0,004731
626;-0,0047305
627;-0,00472996
628;-0,00472967
629;-0,00472925
630;-0,00472867
631;-0,00472801
632;-0,0047275
633;-0,00472709
634;-0,00472656
635;-0,00472582
636;-0,0047257
637;-0,00472504
638;-0,00472455
639;-0,00472407
640;-0,00472361
641;-0,00472308
642;-0,00472254
643;-0,00472212
644;-0,00472149
645;-0,00472044
646;-0,00472011
647;-0,00471942
648;-0,00471882
649;-0,00471831
650;-0,00471731
651;-0,00471673
652;-0,00471603
653;-0,00471576
654;-0,00471511
655;-0,00471424
656;-0,00471366
657;-0,0047132
658;-0,00471248
659;-0,00471216
660;-0,00471132
661;-0,00471106
662;-0,0047106
663;-0,00471021
664;-0,00470985
665;-0,00470939
666;-0,0047086
667;-0,00470767
668;-0,00470737
669;-0,00470673
670;-0,00470619
671;-0,0047057
672;-0,0047049
673;-0,00470443
674;-0,00470381
675;-0,00470352
676;-0,00470286
677;-0,00470252
678;-0,00470185
679;-0,00470116
680;-0,00470083
681;-0,00470035
682;-0,00469972
683;-0,00469873
684;-0,00469838
685;-0,00469738
686;-0,00469649
687;-0,00469586
688;-0,00469538
689;-0,00469516
690;-0,00469425
691;-0,00469363
692;-0,00469304
693;-0,00469243
694;-0,0046917
695;-0,00469112
696;-0,00469095
697;-0,00469026
698;-0,00468948
699;-0,00468912
700;-0,00468886
701;-0,0046882
702;-0,00468784
703;-0,00468712
704;-0,00468676
705;-0,00468637
706;-0,00468609
707;-0,00468515
708;-0,00468453
709;-0,00468401
710;-0,00468331
711;-0,00468265
712;-0,00468217
713;-0,00468156
714;-0,00468128
715;-0,00468098
716;-0,00468038
717;-0,00467987
718;-0,00467902
719;-0,00467843
720;-0,00467797
721;-0,00467698
722;-0,00467636
723;-0,00467583
724;-0,00467526
725;-0,00467481
726;-0,00467426
727;-0,00467331
728;-0,00467295
729;-0,00467191
730;-0,0046713
731;-0,00467108
732;-0,00467049
733;-0,00466998
734;-0,00466924
735;-0,004669
736;-0,00466861
737;-0,00466818
738;-0,00466746
739;-0,00466729
740;-0,00466663
741;-0,00466604
742;-0,00466553
743;-0,00466484
744;-0,00466419
745;-0,0046639
746;-0,00466352
747;-0,00466266
748;-0,00466196
749;-0,00466115
750;-0,00466064
751;-0,00465986
752;-0,00465948
753;-0,00465889
754;-0,00465834
755;-0,00465748
756;-0,00465697
757;-0,00465631
758;-0,00465578
759;-0,00465527
760;-0,00465482
761;-0,00465435
762;-0,004654
763;-0,00465338
764;-0,00465269
765;-0,0046519
766;-0,00465147
767;-0,00465058
768;-0,00465011
769;-0,00464976
770;-0,00464917
771;-0,00464862
772;-0,00464795
773;-0,00464734
774;-0,00464713
775;-0,00464692
776;-0,00464661
777;-0,00464601
778;-0,00464555
779;-0,00464511
780;-0,00464444
781;-0,0046435
782;-0,00464308
783;-0,00464253
784;-0,00464211
785;-0,00464155
786;-0,00464057
787;-0,00463968
788;-0,00463896
789;-0,00463829
790;-0,00463761
791;-0,00463665
792;-0,00463604
793;-0,00463569
794;-0,00463457
795;-0,00463395
796;-0,00463332
797;-0,00463292
798;-0,00463227
799;-0,00463174
800;-0,00463144
801;-0,00463078
802;-0,00463022
803;-0,00462931
804;-0,00462888
805;-0,00462837
806;-0,00462764
807;-0,00462726
808;-0,00462715
809;-0,0046265
810;-0,00462632
811;-0,00462585
812;-0,00462562
813;-0,00462506
814;-0,0046251
815;-0,0046242
816;-0,00462373
817;-0,00462339
818;-0,00462276
819;-0,00462232
820;-0,00462168
821;-0,00462128
822;-0,00462034
823;-0,00461984
824;-0,00461957
825;-0,00461852
826;-0,00461781
827;-0,00461738
828;-0,00461675
829;-0,0046162
830;-0,00461575
831;-0,0046149
832;-0,00461407
833;-0,0046129
834;-0,00461266
835;-0,0046119
836;-0,00461135
837;-0,00461065
838;-0,00461023
839;-0,0046093
840;-0,00460876
841;-0,0046083
842;-0,00460761
843;-0,00460703
844;-0,00460701
845;-0,00460633
846;-0,00460586
847;-0,0046051
848;-0,00460435
849;-0,00460345
850;-0,00460312
851;-0,00460231
852;-0,00460189
853;-0,00460141
854;-0,00460089
855;-0,00460035
856;-0,00460039
857;-0,0045998
858;-0,00459944
859;-0,00459901
860;-0,00459848
861;-0,00459781
862;-0,00459745
863;-0,00459663
864;-0,00459605
865;-0,00459549
866;-0,00459473
867;-0,00459397
868;-0,00459385
869;-0,00459309
870;-0,00459251
871;-0,00459186
872;-0,00459095
873;-0,00459039
874;-0,00458983
875;-0,00458908
876;-0,00458819
877;-0,00458779
878;-0,00458705
879;-0,00458659
880;-0,00458609
881;-0,00458557
882;-0,00458498
883;-0,0045845
884;-0,00458454
885;-0,00458372
886;-0,004583
887;-0,00458243
888;-0,00458166
889;-0,00458107
890;-0,0045805
891;-0,00458001
892;-0,00457957
893;-0,0045791
894;-0,00457838
895;-0,00457808
896;-0,0045776
897;-0,00457698
898;-0,00457677
899;-0,00457644
900;-0,00457575
901;-0,00457536
902;-0,00457515
903;-0,00457419
904;-0,00457372
905;-0,00457326
906;-0,00457274
907;-0,00457222
908;-0,00457169
909;-0,00457104
