Time - Plot 0;Amplitude - Plot 0
579;-0,00319911
580;-0,00319759
581;-0,00319605
582;-0,00319494
583;-0,00319424
584;-0,00319262
585;-0,00319094
586;-0,00318948
587;-0,00318811
588;-0,00318663
589;-0,00318566
590;-0,00318424
591;-0,00318306
592;-0,00318164
593;-0,00318069
594;-0,00317986
595;-0,00317811
596;-0,00317666
597;-0,00317517
598;-0,00317437
599;-0,00317322
600;-0,00317186
601;-0,00317021
602;-0,00316926
603;-0,00316807
604;-0,00316659
605;-0,00316556
606;-0,00316383
607;-0,00316241
608;-0,00316098
609;-0,0031594
610;-0,00315804
611;-0,00315655
612;-0,00315506
613;-0,00315387
614;-0,0031525
615;-0,00315128
616;-0,00314983
617;-0,00314902
618;-0,00314702
619;-0,00314593
620;-0,00314475
621;-0,00314286
622;-0,00314142
623;-0,00314048
624;-0,00313882
625;-0,00313828
626;-0,00313658
627;-0,00313531
628;-0,00313425
629;-0,00313282
630;-0,00313152
631;-0,00313018
632;-0,00312946
633;-0,00312819
634;-0,00312761
635;-0,00313124
636;-0,00312482
637;-0,00311936
638;-0,00312431
639;-0,00312008
640;-0,00311734
641;-0,00311851
642;-0,00311422
643;-0,00311451
644;-0,00311037
645;-0,00310928
646;-0,00310876
647;-0,00310802
648;-0,00310493
649;-0,00310392
650;-0,00310228
651;-0,00310115
652;-0,00310074
653;-0,00309916
654;-0,00309636
655;-0,00309199
656;-0,0030941
657;-0,00309249
658;-0,00309199
659;-0,0030885
660;-0,00309229
661;-0,00308826
662;-0,00308207
663;-0,00308422
664;-0,00308335
665;-0,00308214
666;-0,00308071
667;-0,00307922
668;-0,00307968
669;-0,0030772
670;-0,00307591
671;-0,00307432
672;-0,003074
673;-0,00307224
674;-0,00306818
675;-0,0030705
676;-0,00306636
677;-0,00306777
678;-0,0030667
679;-0,00306519
680;-0,00306388
681;-0,00306241
682;-0,00306167
683;-0,00306113
684;-0,00305929
685;-0,00305843
686;-0,00305716
687;-0,00305656
688;-0,00305517
689;-0,00305353
690;-0,00305259
691;-0,00305075
692;-0,00304961
693;-0,00304816
694;-0,00304854
695;-0,00304593
696;-0,00304453
697;-0,00304393
698;-0,00304352
699;-0,00304049
700;-0,00304091
701;-0,00303871
702;-0,00303842
703;-0,00303779
704;-0,00303564
705;-0,00303487
706;-0,00303392
707;-0,00303215
708;-0,00302938
709;-0,00302935
710;-0,00302885
711;-0,00302716
712;-0,00302682
713;-0,00302456
714;-0,00302301
715;-0,00302268
716;-0,00302132
717;-0,00301987
718;-0,00301833
719;-0,00301757
720;-0,00301658
721;-0,00301539
722;-0,0030143
723;-0,00301334
724;-0,00301191
725;-0,00301061
726;-0,00300928
727;-0,00300812
728;-0,00300687
729;-0,00300587
730;-0,00300452
731;-0,00300337
732;-0,00300186
733;-0,00300127
734;-0,00300017
735;-0,00299882
736;-0,00299714
737;-0,00299646
738;-0,00299498
739;-0,00299371
740;-0,00299256
741;-0,00299148
742;-0,00299019
743;-0,00298888
744;-0,00298726
745;-0,0029858
746;-0,00298484
747;-0,00298352
748;-0,00298269
749;-0,00298122
750;-0,00298021
751;-0,00297903
752;-0,00297743
753;-0,00297615
754;-0,00297521
755;-0,00297381
756;-0,00297271
757;-0,0029714
758;-0,00297021
759;-0,00296895
760;-0,00296749
761;-0,00296635
762;-0,00296496
763;-0,00296395
764;-0,00296289
765;-0,00296166
766;-0,00296058
767;-0,00295921
768;-0,0029579
769;-0,00295676
770;-0,00295556
771;-0,0029541
772;-0,00295278
773;-0,00295064
774;-0,0029505
775;-0,00294933
776;-0,00294826
777;-0,00294684
778;-0,002946
779;-0,0029449
780;-0,0029434
781;-0,00294244
782;-0,00294153
783;-0,00294071
784;-0,00293882
785;-0,00293823
786;-0,00293736
787;-0,00293597
788;-0,00293532
789;-0,00293401
790;-0,00293321
791;-0,00293195
792;-0,00293055
793;-0,00292961
794;-0,00292849
795;-0,00292721
796;-0,00292604
797;-0,00292497
798;-0,00292377
799;-0,00292243
800;-0,00292131
801;-0,00292048
802;-0,00291894
803;-0,00291732
804;-0,00291616
805;-0,00291516
806;-0,00291377
807;-0,00291299
808;-0,00291173
809;-0,00291046
810;-0,00290987
811;-0,00290831
812;-0,00290716
813;-0,00290594
814;-0,00290478
815;-0,00290351
816;-0,00290246
817;-0,00290118
818;-0,0029002
819;-0,00289858
820;-0,00289741
821;-0,00289603
822;-0,00289505
823;-0,00289363
824;-0,00289255
825;-0,00289142
826;-0,00289033
827;-0,00288875
828;-0,00288755
829;-0,00288637
830;-0,00288543
831;-0,0028843
832;-0,00288295
833;-0,00288205
834;-0,00288116
835;-0,00288014
836;-0,00287876
837;-0,00287771
838;-0,0028767
839;-0,0028756
840;-0,00287429
841;-0,00287339
842;-0,00287226
843;-0,0028709
844;-0,00286999
845;-0,00286901
846;-0,00286774
847;-0,00286663
848;-0,00286548
849;-0,00286404
850;-0,00286276
851;-0,00286145
852;-0,00286027
853;-0,00285897
854;-0,00285764
855;-0,00285649
856;-0,00285535
857;-0,00285418
858;-0,00285339
859;-0,00285219
860;-0,00285121
861;-0,00285013
862;-0,00284913
863;-0,00284811
864;-0,00284645
865;-0,0028458
866;-0,00284442
867;-0,00284382
868;-0,0028424
869;-0,00284133
870;-0,0028402
871;-0,00283906
872;-0,002838
873;-0,00283718
