Time - Plot 0;Amplitude - Plot 0
2793;-0,00138773
2794;-0,00138731
2795;-0,00138667
2796;-0,00138635
2797;-0,00138587
2798;-0,00138545
2799;-0,00138496
2800;-0,00138438
2801;-0,00138402
2802;-0,00138378
2803;-0,00138324
2804;-0,00138249
2805;-0,0013823
2806;-0,00138173
2807;-0,00138139
2808;-0,00138103
2809;-0,00138024
2810;-0,00138005
2811;-0,00137936
2812;-0,00137924
2813;-0,00137873
2814;-0,00137813
2815;-0,00137732
2816;-0,00137728
2817;-0,00137667
2818;-0,00137638
2819;-0,00137599
2820;-0,0013753
2821;-0,00137482
2822;-0,00137447
2823;-0,00137392
2824;-0,00137324
2825;-0,00137304
2826;-0,0013725
2827;-0,00137189
2828;-0,00137157
2829;-0,00137115
2830;-0,00137053
2831;-0,00137022
2832;-0,00136989
2833;-0,00136936
2834;-0,0013687
2835;-0,00136834
2836;-0,00136767
2837;-0,00136758
2838;-0,001367
2839;-0,00136676
2840;-0,00136578
2841;-0,00136548
2842;-0,00136501
2843;-0,00136483
2844;-0,00136418
2845;-0,00136382
2846;-0,00136334
2847;-0,00136258
2848;-0,00136213
2849;-0,00136143
2850;-0,00136137
2851;-0,00136074
2852;-0,00136007
2853;-0,00136001
2854;-0,00135945
2855;-0,0013587
2856;-0,0013586
2857;-0,00135776
2858;-0,00135761
2859;-0,00135707
2860;-0,00135634
2861;-0,00135604
2862;-0,00135575
2863;-0,00135474
2864;-0,00135451
2865;-0,00135421
2866;-0,00135332
2867;-0,00135252
2868;-0,00135262
2869;-0,00135205
2870;-0,00135157
2871;-0,00135128
2872;-0,00135084
2873;-0,0013504
2874;-0,00134989
2875;-0,00134933
2876;-0,00134897
2877;-0,00134851
2878;-0,00134796
2879;-0,001347
2880;-0,00134678
2881;-0,00134628
2882;-0,00134585
2883;-0,00134546
2884;-0,0013449
2885;-0,00134439
2886;-0,00134398
2887;-0,00134337
2888;-0,00134282
2889;-0,00134209
2890;-0,00134184
2891;-0,00134144
2892;-0,0013411
2893;-0,00134011
2894;-0,00133961
2895;-0,00133958
2896;-0,00133894
2897;-0,00133832
2898;-0,00133787
2899;-0,00133746
2900;-0,00133688
2901;-0,00133654
2902;-0,00133575
2903;-0,00133538
2904;-0,00133479
2905;-0,00133446
2906;-0,00133373
2907;-0,00133361
2908;-0,00133307
2909;-0,00133234
2910;-0,00133218
2911;-0,00133121
2912;-0,0013309
2913;-0,00133065
2914;-0,00133006
2915;-0,00132973
2916;-0,00132906
2917;-0,00132849
2918;-0,00132806
2919;-0,00132777
2920;-0,00132699
2921;-0,00132679
2922;-0,00132628
2923;-0,00132599
2924;-0,00132538
2925;-0,00132476
2926;-0,00132432
2927;-0,00132387
2928;-0,00132352
2929;-0,00132287
2930;-0,00132252
2931;-0,00132191
2932;-0,0013213
2933;-0,00132089
2934;-0,00132044
2935;-0,00132006
2936;-0,00131972
2937;-0,00131903
2938;-0,00131863
2939;-0,00131812
2940;-0,00131754
2941;-0,00131695
2942;-0,00131662
2943;-0,00131604
2944;-0,0013157
2945;-0,00131528
2946;-0,00131463
2947;-0,00131441
2948;-0,00131375
2949;-0,00131343
2950;-0,00131293
2951;-0,00131262
2952;-0,0013121
2953;-0,00131172
2954;-0,00131115
2955;-0,00131069
2956;-0,00131032
2957;-0,00131002
2958;-0,00130942
2959;-0,0013088
2960;-0,00130856
2961;-0,0013082
2962;-0,00130772
2963;-0,00130717
2964;-0,00130699
2965;-0,00130623
2966;-0,00130564
2967;-0,00130523
2968;-0,00130465
2969;-0,00130471
2970;-0,00130406
2971;-0,00130378
2972;-0,00130344
2973;-0,00130296
2974;-0,00130239
2975;-0,001302
2976;-0,00130167
2977;-0,00130104
2978;-0,00130067
2979;-0,0013001
2980;-0,00129965
2981;-0,00129918
2982;-0,00129877
2983;-0,00129815
2984;-0,00129798
2985;-0,00129732
2986;-0,00129697
2987;-0,00129616
2988;-0,0012959
2989;-0,00129561
2990;-0,00129521
2991;-0,0012948
2992;-0,00129389
2993;-0,00129381
2994;-0,00129342
2995;-0,00129306
2996;-0,00129258
2997;-0,00129209
2998;-0,00129123
2999;-0,00129116
3000;-0,00129086
3001;-0,00129027
3002;-0,00128949
3003;-0,00128944
3004;-0,00128878
3005;-0,00128811
3006;-0,00128806
3007;-0,00128745
3008;-0,00128721
3009;-0,00128679
3010;-0,00128625
3011;-0,00128569
3012;-0,00128522
3013;-0,00128471
3014;-0,00128466
3015;-0,00128416
3016;-0,00128344
3017;-0,00128294
3018;-0,00128251
3019;-0,00128188
3020;-0,00128165
3021;-0,0012811
3022;-0,00128065
3023;-0,00128038
3024;-0,0012797
3025;-0,00127925
3026;-0,00127892
3027;-0,00127802
3028;-0,00127777
3029;-0,00127741
3030;-0,0012769
3031;-0,00127646
3032;-0,00127604
3033;-0,00127559
3034;-0,00127499
3035;-0,00127464
3036;-0,00127424
3037;-0,00127365
3038;-0,00127336
3039;-0,00127298
3040;-0,0012725
3041;-0,00127184
3042;-0,00127138
3043;-0,00127111
3044;-0,0012706
3045;-0,00127006
3046;-0,00126961
3047;-0,00126917
3048;-0,00126846
3049;-0,00126839
3050;-0,0012675
3051;-0,00126757
3052;-0,00126693
3053;-0,00126647
3054;-0,00126594
3055;-0,00126564
3056;-0,00126489
3057;-0,00126477
3058;-0,00126427
3059;-0,00126368
3060;-0,00126313
3061;-0,0012627
3062;-0,00126279
3063;-0,00126192
3064;-0,00126161
3065;-0,00126104
3066;-0,00126051
3067;-0,00126026
3068;-0,00125955
3069;-0,00125939
3070;-0,0012588
3071;-0,00125833
3072;-0,00125775
3073;-0,00125751
3074;-0,00125709
3075;-0,0012566
3076;-0,001256
3077;-0,00125558
3078;-0,00125521
3079;-0,00125464
3080;-0,00125411
3081;-0,00125386
3082;-0,00125307
3083;-0,00125323
3084;-0,00125224
3085;-0,00125133
3086;-0,00125153
3087;-0,00125075
3088;-0,00125065
3089;-0,00125004
3090;-0,00124962
3091;-0,00124912
3092;-0,00124873
3093;-0,00124837
3094;-0,00124794
3095;-0,00124747
3096;-0,00124722
3097;-0,00124658
3098;-0,00124592
3099;-0,00124541
3100;-0,0012451
3101;-0,00124482
3102;-0,00124418
3103;-0,00124377
3104;-0,00124318
3105;-0,00124305
3106;-0,00124267
3107;-0,0012421
3108;-0,00124183
3109;-0,00124128
3110;-0,00124071
3111;-0,00124045
3112;-0,00124017
3113;-0,00123972
3114;-0,00123911
3115;-0,00123879
3116;-0,00123835
3117;-0,00123785
3118;-0,00123769
3119;-0,00123684
3120;-0,00123651
3121;-0,00123608
3122;-0,00123559
3123;-0,00123525
3124;-0,00123499
3125;-0,00123418
3126;-0,00123384
3127;-0,00123337
3128;-0,00123301
3129;-0,00123263
3130;-0,00123242
3131;-0,00123227
3132;-0,00123147
3133;-0,00123024
3134;-0,00123046
3135;-0,00123001
3136;-0,00122974
3137;-0,00122902
3138;-0,0012287
3139;-0,00122838
3140;-0,001228
3141;-0,00122764
3142;-0,0012273
3143;-0,0012268
3144;-0,00122619
3145;-0,00122583
3146;-0,00122529
3147;-0,00122507
3148;-0,00122458
3149;-0,00122436
3150;-0,00122391
3151;-0,0012233
3152;-0,00122294
3153;-0,00122265
3154;-0,00122195
3155;-0,00122161
3156;-0,00122123
3157;-0,00122063
3158;-0,00122036
3159;-0,00121989
3160;-0,00121987
3161;-0,001219
3162;-0,00121904
3163;-0,00121816
3164;-0,00121789
3165;-0,00121752
3166;-0,0012173
3167;-0,00121665
3168;-0,00121626
3169;-0,00121586
3170;-0,00121552
3171;-0,00121512
3172;-0,0012146
3173;-0,00121443
3174;-0,00121385
3175;-0,00121352
3176;-0,00121317
3177;-0,00121254
3178;-0,00121217
3179;-0,00121159
3180;-0,00121128
3181;-0,00121105
3182;-0,00121051
3183;-0,00121026
3184;-0,00120968
3185;-0,00120924
3186;-0,00120896
3187;-0,00120849
3188;-0,00120808
3189;-0,00120786
3190;-0,00120732
3191;-0,00120703
3192;-0,00120636
3193;-0,0012064
3194;-0,00120548
3195;-0,0012052
3196;-0,00120487
3197;-0,00120446
3198;-0,00120402
3199;-0,0012034
3200;-0,00120324
3201;-0,00120283
3202;-0,00120215
3203;-0,00120159
3204;-0,00120139
3205;-0,00120094
3206;-0,00120066
3207;-0,00120006
3208;-0,00119975
3209;-0,00119929
3210;-0,00119881
3211;-0,00119822
3212;-0,00119829
3213;-0,0011978
3214;-0,00119716
3215;-0,00119694
3216;-0,00119658
3217;-0,00119592
3218;-0,0011955
3219;-0,00119504
3220;-0,00119486
3221;-0,00119441
3222;-0,00119406
3223;-0,00119324
3224;-0,00119314
3225;-0,0011928
3226;-0,00119248
3227;-0,00119215
3228;-0,0011916
3229;-0,00119132
3230;-0,00119074
3231;-0,00119035
3232;-0,00119002
3233;-0,00118977
3234;-0,00118934
3235;-0,00118902
3236;-0,00118864
3237;-0,00118828
3238;-0,00118775
3239;-0,00118765
3240;-0,00118726
3241;-0,00118672
3242;-0,00118639
3243;-0,00118612
3244;-0,00118552
3245;-0,0011851
3246;-0,00118493
3247;-0,00118455
3248;-0,00118396
3249;-0,00118366
3250;-0,00118317
3251;-0,00118294
3252;-0,00118263
3253;-0,00118217
3254;-0,0011819
3255;-0,00118171
3256;-0,00118117
3257;-0,00118089
3258;-0,00118067
3259;-0,00118017
3260;-0,00117975
3261;-0,00117947
3262;-0,00117864
3263;-0,00117865
3264;-0,00117821
3265;-0,00117789
3266;-0,00117724
3267;-0,00117702
3268;-0,0011764
3269;-0,00117629
3270;-0,00117598
3271;-0,00117553
3272;-0,00117514
3273;-0,00117474
3274;-0,00117433
3275;-0,00117416
3276;-0,00117347
3277;-0,00117325
3278;-0,00117315
3279;-0,00117289
3280;-0,00117198
3281;-0,00117161
3282;-0,00117136
3283;-0,00117096
3284;-0,00117058
3285;-0,00116997
3286;-0,00116984
3287;-0,00116927
3288;-0,00116898
3289;-0,00116872
3290;-0,00116813
3291;-0,00116783
3292;-0,00116736
3293;-0,00116705
3294;-0,00116657
3295;-0,00116634
3296;-0,00116597
3297;-0,00116516
3298;-0,00116489
3299;-0,00116487
3300;-0,00116471
3301;-0,00116398
3302;-0,00116355
3303;-0,00116351
3304;-0,00116285
3305;-0,00116259
3306;-0,00116207
3307;-0,00116187
3308;-0,00116113
3309;-0,0011607
3310;-0,00116023
3311;-0,00115996
3312;-0,0011595
3313;-0,00115931
3314;-0,00115899
3315;-0,0011584
3316;-0,00115813
3317;-0,00115776
3318;-0,00115751
3319;-0,00115728
3320;-0,00115645
3321;-0,00115633
3322;-0,00115583
3323;-0,00115524
3324;-0,00115509
3325;-0,00115449
3326;-0,00115402
3327;-0,001154
3328;-0,00115348
3329;-0,00115322
3330;-0,00115295
3331;-0,00115245
3332;-0,0011523
3333;-0,00115148
3334;-0,00115157
3335;-0,00115105
3336;-0,00115047
3337;-0,00115043
3338;-0,00115
3339;-0,00114984
3340;-0,00114969
3341;-0,00114909
3342;-0,00114866
3343;-0,00114859
3344;-0,00114798
3345;-0,00114769
3346;-0,00114733
3347;-0,0011471
3348;-0,00114672
3349;-0,00114619
3350;-0,00114592
3351;-0,00114562
3352;-0,00114526
3353;-0,00114486
3354;-0,00114453
3355;-0,00114425
3356;-0,00114392
3357;-0,00114321
3358;-0,00114303
3359;-0,00114272
3360;-0,00114228
3361;-0,0011421
3362;-0,00114163
3363;-0,00114124
3364;-0,00114075
3365;-0,00114013
3366;-0,0011399
3367;-0,00113983
3368;-0,00113969
3369;-0,0011391
3370;-0,00113821
3371;-0,00113819
3372;-0,00113788
3373;-0,00113747
3374;-0,00113708
3375;-0,00113656
3376;-0,00113609
3377;-0,0011358
3378;-0,00113561
3379;-0,00113524
3380;-0,00113468
3381;-0,00113426
3382;-0,00113419
3383;-0,00113356
3384;-0,00113344
3385;-0,00113288
3386;-0,00113254
3387;-0,00113217
3388;-0,00113238
3389;-0,00113171
3390;-0,00113136
3391;-0,00113097
3392;-0,00113024
3393;-0,00113006
3394;-0,00112976
3395;-0,00112946
3396;-0,00112914
3397;-0,0011289
3398;-0,0011285
3399;-0,00112792
3400;-0,00112751
3401;-0,0011271
3402;-0,00112668
3403;-0,00112644
3404;-0,00112597
3405;-0,00112556
3406;-0,00112518
3407;-0,00112511
3408;-0,00112478
3409;-0,00112473
3410;-0,00112406
3411;-0,00112368
3412;-0,00112336
3413;-0,00112292
3414;-0,00112276
3415;-0,00112264
3416;-0,00112198
3417;-0,00112148
3418;-0,00112134
3419;-0,001121
3420;-0,00112049
3421;-0,00112023
3422;-0,00111953
3423;-0,00111928
3424;-0,00111907
3425;-0,00111892
3426;-0,00111843
3427;-0,00111822
3428;-0,00111784
3429;-0,00111771
3430;-0,00111719
3431;-0,00111682
3432;-0,00111661
3433;-0,00111597
3434;-0,00111548
3435;-0,00111524
3436;-0,00111497
3437;-0,00111471
