Time - Plot 0;Amplitude - Plot 0
0;0,00221321
1;0,00221974
2;0,00222421
3;0,00222825
4;0,00223016
5;0,00223219
6;0,00223339
7;0,00223413
8;0,00222488
9;0,00221661
10;0,00221715
11;0,00221526
12;0,00221335
13;0,00221108
14;0,00220687
15;0,00220334
16;0,00219942
17;0,0021946
18;0,00219267
19;0,0021934
20;0,00219469
21;0,00219191
22;0,00219015
23;0,00218731
24;0,00218148
25;0,00217819
26;0,0021795
27;0,00217962
28;0,00217888
29;0,00217508
30;0,00217438
31;0,00217842
32;0,00217479
33;0,00217203
34;0,00216847
35;0,00215739
36;0,00214763
37;0,00213425
38;0,00212345
39;0,00211198
40;0,00209947
41;0,00208775
42;0,00207741
43;0,00206742
44;0,00205895
45;0,00204963
46;0,00204282
47;0,00203705
48;0,00203249
49;0,00202787
50;0,00202405
51;0,00201989
52;0,00201619
53;0,00201305
54;0,00200922
55;0,00200573
56;0,00200271
57;0,00200006
58;0,00199705
59;0,00199357
60;0,00199072
61;0,00198781
62;0,00198594
63;0,00198341
64;0,0019807
65;0,00197854
66;0,00197494
67;0,00197219
68;0,00197013
69;0,00196793
70;0,00196541
71;0,00196318
72;0,00196075
73;0,00195832
74;0,00195531
75;0,00195219
76;0,00195031
77;0,00194721
78;0,00194492
79;0,00194308
80;0,00194012
81;0,00193725
82;0,00193485
83;0,00193237
84;0,00193028
85;0,00192762
86;0,0019252
87;0,00192247
88;0,00192013
89;0,00191747
90;0,00191554
91;0,00191383
92;0,00191196
93;0,00190975
94;0,00190707
95;0,00190443
96;0,00190216
97;0,00189938
98;0,00189782
99;0,00189577
100;0,00189377
101;0,0018913
102;0,00188943
103;0,00188685
104;0,00188409
105;0,00188114
106;0,00187849
107;0,00187608
108;0,00187405
109;0,00187243
110;0,00187101
111;0,00186916
112;0,00186693
113;0,00186446
114;0,0018616
115;0,0018598
116;0,00185694
117;0,00185461
118;0,00185227
119;0,00185045
120;0,0018481
121;0,00184595
122;0,00184387
123;0,00184201
124;0,0018395
125;0,00183777
126;0,00183589
127;0,00183367
128;0,00183109
129;0,00182894
130;0,00182728
131;0,00182606
132;0,00182368
133;0,0018206
134;0,00181834
135;0,00181592
136;0,0018137
137;0,00181057
138;0,00180844
139;0,0018064
140;0,0018051
141;0,00180291
142;0,00180029
143;0,00179765
144;0,00179494
145;0,00179416
146;0,00179205
147;0,00179011
148;0,00178762
149;0,00178606
150;0,00178549
151;0,00178279
152;0,0017804
153;0,00177863
154;0,00177707
155;0,00177561
156;0,00177326
157;0,00177157
158;0,00176957
159;0,00176762
160;0,00176539
161;0,00176383
162;0,00176247
163;0,00176064
164;0,00175901
165;0,00175781
166;0,0017556
167;0,00175467
168;0,00175249
169;0,0017511
170;0,00174921
171;0,00174758
172;0,00174605
173;0,00174355
174;0,0017422
175;0,00174044
176;0,00173878
177;0,00173681
178;0,00173544
179;0,00173407
180;0,00173234
181;0,00173123
182;0,00172977
183;0,0017299
184;0,00172749
185;0,00172693
186;0,00172615
187;0,00172506
188;0,00172335
189;0,00172241
190;0,00172113
191;0,00171993
192;0,00171891
193;0,00171841
194;0,00171644
195;0,00171501
196;0,00171338
197;0,00171151
198;0,00171052
199;0,00170884
200;0,00170746
