Iteration;Amplitude
0;2,50E-05
1;2,48E-05
2;2,46E-05
3;2,47E-05
4;2,49E-05
5;2,54E-05
6;2,60E-05
7;2,68E-05
8;2,78E-05
9;2,86E-05
10;2,97E-05
11;3,07E-05
12;3,15E-05
13;3,26E-05
14;3,38E-05
15;3,48E-05
16;3,56E-05
17;3,71E-05
18;3,81E-05
19;3,91E-05
20;4,00E-05
21;4,13E-05
22;4,22E-05
23;4,32E-05
24;4,41E-05
25;4,52E-05
26;4,62E-05
27;4,70E-05
28;4,81E-05
29;4,89E-05
30;4,97E-05
31;5,09E-05
32;5,17E-05
33;5,27E-05
34;5,35E-05
35;5,43E-05
36;5,55E-05
37;5,64E-05
38;5,70E-05
39;5,80E-05
40;5,87E-05
41;5,95E-05
42;6,04E-05
43;6,09E-05
44;6,18E-05
45;6,26E-05
46;6,34E-05
47;6,42E-05
48;6,51E-05
49;6,57E-05
50;6,62E-05
51;6,70E-05
52;6,78E-05
53;6,85E-05
54;6,92E-05
55;6,99E-05
56;7,04E-05
57;7,13E-05
58;7,20E-05
59;7,27E-05
60;7,33E-05
61;7,40E-05
62;7,44E-05
63;7,46E-05
64;7,49E-05
65;7,47E-05
66;7,45E-05
67;7,42E-05
68;7,36E-05
69;7,31E-05
70;7,25E-05
71;7,16E-05
72;7,09E-05
73;7,03E-05
74;6,95E-05
75;6,89E-05
76;6,83E-05
77;6,74E-05
78;6,66E-05
79;6,60E-05
80;6,52E-05
81;6,43E-05
82;6,35E-05
83;6,30E-05
84;6,22E-05
85;6,14E-05
86;6,09E-05
87;5,99E-05
88;5,95E-05
89;5,88E-05
90;5,82E-05
91;5,75E-05
92;5,69E-05
93;5,65E-05
94;5,57E-05
95;5,51E-05
96;5,46E-05
97;5,40E-05
98;5,35E-05
99;5,29E-05
100;5,21E-05
101;5,17E-05
102;5,11E-05
103;5,06E-05
104;4,99E-05
105;4,97E-05
106;4,89E-05
107;4,86E-05
108;4,78E-05
109;4,76E-05
110;4,70E-05
111;4,65E-05
112;4,60E-05
113;4,56E-05
114;4,51E-05
115;4,47E-05
116;4,44E-05
117;4,38E-05
118;4,34E-05
119;4,30E-05
120;4,26E-05
121;4,20E-05
122;4,19E-05
123;4,17E-05
124;4,19E-05
125;4,23E-05
126;4,28E-05
127;4,34E-05
128;4,43E-05
129;4,51E-05
130;4,60E-05
131;4,68E-05
132;4,78E-05
133;4,88E-05
134;4,99E-05
135;5,06E-05
136;5,17E-05
137;5,27E-05
138;5,36E-05
139;5,45E-05
140;5,55E-05
141;5,66E-05
142;5,73E-05
143;5,84E-05
144;5,93E-05
145;6,03E-05
146;6,11E-05
147;6,19E-05
148;6,28E-05
149;6,37E-05
150;6,45E-05
151;6,54E-05
152;6,63E-05
153;6,71E-05
154;6,79E-05
155;6,85E-05
156;6,95E-05
157;7,04E-05
158;7,11E-05
159;7,19E-05
160;7,27E-05
161;7,36E-05
162;7,43E-05
163;7,48E-05
164;7,56E-05
165;7,60E-05
166;7,69E-05
167;7,73E-05
168;7,83E-05
169;7,90E-05
170;8,00E-05
171;8,04E-05
172;8,11E-05
173;8,17E-05
174;8,23E-05
175;8,33E-05
176;8,36E-05
177;8,43E-05
178;8,47E-05
179;8,55E-05
180;8,61E-05
181;8,66E-05
182;8,72E-05
183;8,72E-05
184;8,73E-05
185;8,72E-05
186;8,65E-05
187;8,62E-05
188;8,54E-05
189;8,48E-05
190;8,43E-05
191;8,34E-05
192;8,26E-05
193;8,18E-05
194;8,10E-05
195;8,03E-05
196;7,93E-05
197;7,87E-05
198;7,78E-05
199;7,71E-05
200;7,63E-05
201;7,56E-05
202;7,46E-05
203;7,42E-05
204;7,31E-05
205;7,26E-05
206;7,16E-05
207;7,10E-05
208;7,02E-05
209;6,97E-05
210;6,87E-05
211;6,81E-05
212;6,73E-05
213;6,69E-05
214;6,63E-05
215;6,57E-05
216;6,47E-05
217;6,41E-05
218;6,37E-05
219;6,30E-05
220;6,22E-05
221;6,20E-05
222;6,16E-05
223;6,07E-05
224;6,00E-05
225;5,96E-05
226;5,89E-05
227;5,85E-05
228;5,80E-05
229;5,75E-05
230;5,70E-05
231;5,63E-05
232;5,58E-05
233;5,52E-05
234;5,48E-05
235;5,43E-05
236;5,40E-05
237;5,35E-05
238;5,30E-05
239;5,25E-05
240;5,22E-05
241;5,16E-05
242;5,11E-05
243;5,10E-05
244;5,11E-05
245;5,14E-05
246;5,18E-05
247;5,25E-05
248;5,31E-05
249;5,39E-05
250;5,46E-05
251;5,56E-05
252;5,65E-05
253;5,75E-05
254;5,85E-05
255;5,96E-05
256;6,02E-05
257;6,13E-05
258;6,21E-05
259;6,31E-05
260;6,40E-05
261;6,49E-05
262;6,59E-05
263;6,67E-05
264;6,77E-05
265;6,83E-05
266;6,91E-05
267;7,00E-05
268;7,10E-05
269;7,17E-05
270;7,27E-05
271;7,35E-05
272;7,42E-05
273;7,49E-05
274;7,57E-05
275;7,63E-05
276;7,70E-05
277;7,80E-05
278;7,87E-05
279;7,95E-05
280;8,03E-05
281;8,09E-05
282;8,16E-05
283;8,21E-05
284;8,27E-05
285;8,36E-05
286;8,42E-05
287;8,48E-05
288;8,56E-05
289;8,61E-05
290;8,67E-05
291;8,75E-05
292;8,79E-05
293;8,85E-05
294;8,90E-05
295;8,97E-05
296;9,02E-05
297;9,07E-05
298;9,13E-05
299;9,19E-05
300;9,26E-05
301;9,31E-05
302;9,36E-05
303;9,36E-05
304;9,37E-05
305;9,35E-05
306;9,32E-05
307;9,25E-05
308;9,20E-05
309;9,13E-05
310;9,05E-05
311;8,99E-05
312;8,90E-05
313;8,82E-05
314;8,73E-05
315;8,64E-05
316;8,57E-05
317;8,50E-05
318;8,41E-05
319;8,31E-05
320;8,24E-05
321;8,15E-05
322;8,07E-05
323;8,00E-05
324;7,93E-05
325;7,86E-05
326;7,77E-05
327;7,70E-05
328;7,60E-05
329;7,53E-05
330;7,46E-05
331;7,42E-05
332;7,33E-05
333;7,25E-05
334;7,21E-05
335;7,12E-05
336;7,06E-05
337;7,00E-05
338;6,92E-05
339;6,84E-05
340;6,80E-05
341;6,73E-05
342;6,68E-05
343;6,61E-05
344;6,55E-05
345;6,50E-05
346;6,44E-05
347;6,40E-05
348;6,32E-05
349;6,29E-05
350;6,21E-05
351;6,15E-05
352;6,12E-05
353;6,06E-05
354;5,99E-05
355;5,95E-05
356;5,89E-05
357;5,84E-05
358;5,78E-05
359;5,74E-05
360;5,69E-05
361;5,65E-05
362;5,62E-05
363;5,58E-05
364;5,59E-05
365;5,65E-05
366;5,66E-05
367;5,75E-05
368;5,80E-05
369;5,87E-05
370;5,94E-05
371;6,03E-05
372;6,13E-05
373;6,22E-05
374;6,31E-05
375;6,39E-05
376;6,46E-05
377;6,56E-05
378;6,65E-05
379;6,75E-05
380;6,82E-05
381;6,91E-05
382;6,99E-05
383;7,09E-05
384;7,17E-05
385;7,24E-05
386;7,35E-05
387;7,43E-05
388;7,49E-05
389;7,57E-05
390;7,67E-05
391;7,77E-05
392;7,83E-05
393;7,89E-05
394;7,96E-05
395;8,01E-05
396;8,10E-05
397;8,19E-05
398;8,25E-05
399;8,32E-05
400;8,36E-05
401;8,45E-05
402;8,52E-05
403;8,59E-05
404;8,66E-05
405;8,73E-05
406;8,79E-05
407;8,84E-05
408;8,88E-05
409;8,95E-05
410;9,03E-05
411;9,09E-05
412;9,14E-05
413;9,20E-05
414;9,28E-05
415;9,32E-05
416;9,39E-05
417;9,46E-05
418;9,49E-05
419;9,55E-05
420;9,62E-05
421;9,66E-05
422;9,69E-05
423;9,73E-05
424;9,71E-05
425;9,68E-05
426;9,64E-05
427;9,58E-05
428;9,51E-05
429;9,47E-05
430;9,37E-05
431;9,32E-05
432;9,24E-05
433;9,15E-05
434;9,05E-05
435;8,96E-05
436;8,89E-05
437;8,79E-05
438;8,72E-05
439;8,62E-05
440;8,54E-05
441;8,46E-05
442;8,36E-05
443;8,31E-05
444;8,23E-05
445;8,15E-05
446;8,05E-05
447;7,99E-05
448;7,87E-05
449;7,83E-05
450;7,76E-05
451;7,69E-05
452;7,61E-05
453;7,54E-05
454;7,48E-05
455;7,40E-05
456;7,32E-05
457;7,27E-05
458;7,18E-05
459;7,13E-05
460;7,07E-05
461;7,00E-05
462;6,92E-05
463;6,89E-05
464;6,84E-05
465;6,77E-05
466;6,69E-05
467;6,66E-05
468;6,60E-05
469;6,54E-05
470;6,48E-05
471;6,41E-05
472;6,36E-05
473;6,30E-05
474;6,26E-05
475;6,19E-05
476;6,14E-05
477;6,09E-05
478;6,04E-05
479;5,98E-05
480;5,96E-05
481;5,88E-05
482;5,86E-05
483;5,82E-05
484;5,86E-05
485;5,89E-05
486;5,93E-05
487;5,98E-05
488;6,03E-05
489;6,12E-05
490;6,19E-05
491;6,25E-05
492;6,36E-05
493;6,46E-05
494;6,54E-05
495;6,62E-05
496;6,72E-05
497;6,78E-05
498;6,90E-05
499;6,98E-05
500;7,07E-05
501;7,15E-05
502;7,21E-05
503;7,31E-05
504;7,38E-05
505;7,49E-05
506;7,56E-05
507;7,64E-05
508;7,71E-05
509;7,79E-05
510;7,87E-05
511;7,96E-05
512;8,06E-05
513;8,11E-05
514;8,18E-05
515;8,25E-05
516;8,32E-05
517;8,38E-05
518;8,48E-05
519;8,54E-05
520;8,61E-05
521;8,66E-05
522;8,72E-05
523;8,78E-05
524;8,86E-05
525;8,92E-05
526;8,98E-05
527;9,04E-05
528;9,11E-05
529;9,18E-05
530;9,22E-05
531;9,27E-05
532;9,36E-05
533;9,41E-05
534;9,45E-05
535;9,52E-05
536;9,58E-05
537;9,62E-05
538;9,69E-05
539;9,73E-05
540;9,78E-05
541;9,83E-05
542;9,88E-05
543;9,88E-05
544;9,88E-05
545;9,88E-05
546;9,83E-05
547;9,77E-05
548;9,71E-05
549;9,63E-05
550;9,57E-05
551;9,48E-05
552;9,38E-05
553;9,30E-05
554;9,22E-05
555;9,13E-05
556;9,05E-05
557;8,95E-05
