Time - Plot 0;Amplitude - Plot 0
0;4,78E-05
1;4,75E-05
2;4,73E-05
3;4,72E-05
4;4,72E-05
5;4,72E-05
6;4,68E-05
7;4,68E-05
8;4,66E-05
9;4,68E-05
10;4,68E-05
11;4,66E-05
12;4,65E-05
13;4,63E-05
14;4,62E-05
15;4,60E-05
16;4,60E-05
17;4,61E-05
18;4,57E-05
19;4,61E-05
20;4,57E-05
21;4,59E-05
22;4,56E-05
23;4,57E-05
24;4,58E-05
25;4,55E-05
26;4,57E-05
27;4,57E-05
28;4,58E-05
29;4,60E-05
30;4,59E-05
31;4,60E-05
32;4,59E-05
33;4,59E-05
34;4,61E-05
35;4,63E-05
36;4,62E-05
37;4,62E-05
38;4,61E-05
39;4,62E-05
40;4,62E-05
41;4,65E-05
42;4,65E-05
43;4,66E-05
44;4,66E-05
45;4,67E-05
46;4,70E-05
47;4,69E-05
48;4,71E-05
49;4,73E-05
50;4,73E-05
51;4,74E-05
52;4,74E-05
53;4,76E-05
54;4,78E-05
55;4,78E-05
56;4,80E-05
57;4,83E-05
58;4,84E-05
59;4,85E-05
60;4,87E-05
61;4,87E-05
62;4,92E-05
63;4,91E-05
64;4,91E-05
65;4,91E-05
66;4,93E-05
67;4,95E-05
68;4,95E-05
69;4,95E-05
70;4,98E-05
71;4,97E-05
72;4,97E-05
73;4,99E-05
74;4,99E-05
75;4,99E-05
76;4,98E-05
77;4,99E-05
78;5,01E-05
79;4,99E-05
80;4,98E-05
81;5,00E-05
82;5,00E-05
83;5,00E-05
84;5,00E-05
85;4,98E-05
86;4,99E-05
87;4,98E-05
88;4,99E-05
89;4,98E-05
90;4,98E-05
91;4,99E-05
92;4,99E-05
93;4,97E-05
94;4,95E-05
95;4,97E-05
96;4,96E-05
97;4,95E-05
98;4,92E-05
99;4,94E-05
100;4,93E-05
101;4,94E-05
102;4,92E-05
103;4,92E-05
104;4,91E-05
105;4,91E-05
106;4,92E-05
107;4,89E-05
108;4,89E-05
109;4,92E-05
110;4,92E-05
111;4,92E-05
112;4,91E-05
113;4,92E-05
114;4,88E-05
115;4,91E-05
116;4,89E-05
117;4,89E-05
118;4,91E-05
119;4,91E-05
120;4,92E-05
121;4,93E-05
122;4,93E-05
123;4,93E-05
124;4,94E-05
125;4,96E-05
126;4,96E-05
