Time - Plot 0;Amplitude - Plot 0
0;1,19834
1;1,19123
2;1,18636
3;1,18394
4;1,18445
5;1,18307
6;1,17411
7;1,17492
8;1,17019
9;1,17327
10;1,17404
11;1,16783
12;1,16555
13;1,16111
14;1,15906
15;1,15428
16;1,15333
17;1,15724
18;1,14522
19;1,1553
20;1,14556
21;1,15095
22;1,14519
23;1,14559
24;1,14886
25;1,14266
26;1,14638
27;1,14596
28;1,14885
29;1,15288
30;1,15246
31;1,15363
32;1,15065
33;1,15252
34;1,15527
35;1,16053
36;1,15936
37;1,15818
38;1,15542
39;1,15989
40;1,15783
41;1,16752
42;1,1658
43;1,16886
44;1,1698
45;1,17103
46;1,17833
47;1,17608
48;1,18191
49;1,18563
50;1,18758
51;1,19021
52;1,19018
53;1,1935
54;1,19827
55;1,20031
56;1,20341
57;1,21124
58;1,2131
59;1,21792
60;1,22275
61;1,22216
62;1,23323
63;1,23098
64;1,23289
65;1,2316
66;1,23754
67;1,24083
68;1,2421
69;1,24178
70;1,24949
71;1,24724
72;1,24723
73;1,25129
74;1,25101
75;1,25126
76;1,25054
77;1,25156
78;1,25665
79;1,25088
80;1,25003
81;1,25544
82;1,25546
83;1,2551
84;1,25504
85;1,24924
86;1,2507
87;1,25045
88;1,25196
89;1,24963
90;1,25013
91;1,2511
92;1,25078
93;1,24558
94;1,24155
95;1,24682
96;1,24336
97;1,24261
98;1,23549
99;1,23963
100;1,23736
101;1,24034
102;1,23395
103;1,23524
104;1,23287
105;1,23192
106;1,23509
107;1,22623
108;1,2278
109;1,23442
110;1,23464
111;1,23405
112;1,23077
113;1,23392
114;1,22472
115;1,23069
116;1,22762
117;1,2278
118;1,23273
119;1,23147
120;1,23437
121;1,23697
122;1,23778
123;1,23733
124;1,24002
125;1,2452
126;1,24412
127;1,24504
128;1,25344
129;1,25094
130;1,25182
131;1,25704
132;1,25737
133;1,26122
134;1,26498
135;1,27021
136;1,26956
137;1,27251
138;1,27584
139;1,28162
140;1,27974
141;1,28558
142;1,28551
143;1,29069
144;1,2993
145;1,30399
146;1,30495
147;1,30743
148;1,31028
149;1,31859
150;1,31723
151;1,31756
152;1,3175
153;1,32074
154;1,31943
155;1,32857
156;1,33614
157;1,33772
158;1,33669
159;1,34273
160;1,3448
161;1,34823
162;1,34677
163;1,34543
164;1,34704
165;1,35035
166;1,34308
167;1,34369
168;1,34857
169;1,34544
170;1,34913
171;1,34433
172;1,34663
173;1,34589
174;1,34711
175;1,34877
176;1,3471
177;1,34392
178;1,34491
179;1,34524
180;1,3409
181;1,33617
182;1,33697
183;1,33863
184;1,33879
185;1,33144
186;1,33409
187;1,33795
188;1,33727
189;1,33033
190;1,3353
191;1,32894
192;1,32949
193;1,32709
194;1,32385
195;1,32136
196;1,32316
197;1,326
198;1,31779
199;1,32109
200;1,31813
201;1,31866
202;1,32113
203;1,31685
204;1,31693
205;1,32351
206;1,32229
207;1,3236
208;1,32447
209;1,3223
210;1,32273
211;1,3239
212;1,32483
213;1,32982
214;1,32611
215;1,32743
216;1,329
217;1,33346
218;1,33756
219;1,33612
220;1,33714
221;1,34487
222;1,35097
223;1,35067
224;1,34916
225;1,35132
226;1,35687
227;1,36067
228;1,36053
229;1,36792
230;1,36766
231;1,36999
232;1,37409
233;1,37578
234;1,37917
235;1,38484
236;1,38834
237;1,38631
238;1,39338
239;1,39411
240;1,39505
241;1,39814
242;1,40298
243;1,40051
244;1,39903
245;1,39788
246;1,40494
247;1,40682
248;1,41034
249;1,41156
250;1,41024
251;1,40993
252;1,4166
253;1,41937
254;1,41784
255;1,41702
256;1,41774
257;1,41609
258;1,42272
259;1,41473
260;1,41899
261;1,4245
262;1,4165
263;1,41974
264;1,41989
265;1,41916
266;1,4163
267;1,41606
268;1,40949
269;1,41212
270;1,41014
271;1,40306
272;1,40757
273;1,40226
274;1,39693
275;1,39878
276;1,39367
277;1,39377
278;1,38981
279;1,39082
280;1,39115
281;1,39012
282;1,38355
283;1,38347
284;1,38214
285;1,38303
286;1,37911
287;1,38039
288;1,37848
289;1,38093
290;1,3777
291;1,37664
292;1,37473
293;1,37506
294;1,37464
295;1,37577
296;1,3768
297;1,37289
298;1,37531
299;1,37457
300;1,37788
301;1,37319
302;1,37659
303;1,37634
304;1,38327
305;1,38006
306;1,38126
307;1,37824
308;1,38678
309;1,38608
310;1,38769
311;1,39572
312;1,39161
313;1,39189
314;1,39284
315;1,39769
316;1,39979
317;1,40211
318;1,40185
319;1,40651
320;1,41189
321;1,40942
322;1,41763
323;1,41322
324;1,41795
325;1,42404
326;1,4229
327;1,42802
328;1,42733
329;1,43142
330;1,43706
331;1,44185
332;1,43647
333;1,4416
334;1,44783
335;1,44841
336;1,45047
337;1,4465
338;1,44937
339;1,44542
340;1,44417
341;1,44528
342;1,45248
343;1,45164
344;1,45053
345;1,45236
346;1,45551
347;1,45368
348;1,45317
349;1,4538
350;1,45151
351;1,44831
352;1,45018
353;1,44731
354;1,45063
355;1,44676
356;1,44946
357;1,44702
358;1,4456
359;1,44755
360;1,44168
361;1,43916
362;1,43758
363;1,43658
364;1,43285
365;1,43231
366;1,4288
367;1,42518
368;1,42598
369;1,42515
370;1,42004
371;1,41911
372;1,41839
373;1,41134
374;1,41
375;1,408
376;1,41004
377;1,40378
378;1,40262
379;1,40241
380;1,40033
381;1,40297
382;1,40016
383;1,39965
384;1,39898
385;1,3979
386;1,40061
387;1,3954
388;1,39858
389;1,39913
390;1,40022
391;1,39986
392;1,39428
393;1,40272
394;1,40017
395;1,40276
396;1,40395
397;1,40064
398;1,40814
399;1,4056
400;1,41283
401;1,41516
402;1,4142
403;1,41477
404;1,41733
405;1,4218
406;1,41716
407;1,4245
408;1,42393
409;1,4247
410;1,42893
411;1,42857
412;1,43496
413;1,4343
414;1,43927
415;1,43972
416;1,4452
417;1,44562
418;1,45139
419;1,45307
420;1,4532
421;1,45543
422;1,46405
423;1,45838
424;1,46294
425;1,46451
426;1,4683
427;1,46709
428;1,46967
429;1,47298
430;1,47333
431;1,47299
432;1,46831
433;1,47296
434;1,47082
435;1,46931
436;1,47064
437;1,4699
438;1,47231
439;1,47021
440;1,46967
441;1,46663
442;1,46453
443;1,4626
444;1,45872
445;1,46024
446;1,46271
447;1,45389
448;1,45133
449;1,44994
